gt_word,ocr_word,word_length,word_cer
on,o,2,0.5
the,h,3,0.6667
crowning,brauuug,8,0.75
indignity,idiglhy,9,0.4444
the,kx_,3,1.0
night,uqul,5,1.0
club,club,4,0.0
is,,2,1.0
the,hu,3,0.6667
missing,uusug,7,0.7143
building,@udug,8,0.625
.,t,1,1.0
the,clscl,3,1.6667
church,telukcen,6,1.0
rebukes,k,7,0.8571
the,,3,1.0
island,slad,6,0.3333
.,thu,1,3.0
father,{laclumn,6,1.1667
malachias,q,9,1.0
goes,jo,4,0.75
to,h,2,1.0
the,(skud,3,1.6667
island,,6,1.0
",",,1,1.0
poor,poef,4,0.5
monk,ucuk,4,0.75
for,tov,3,0.6667
his,kus,3,0.6667
miracle,li,7,0.8571
",",(2c,1,3.0
and,aud,3,0.3333
as,2,2,1.0
a,,1,1.0
soon,scou,4,0.5
a,n,1,1.0
carnival,@uie,8,0.875
springs,spnuq,7,0.5714
up,up,2,0.0
on,cu,2,1.0
the,h_,3,0.6667
sight,&qul,5,1.0
of,,2,1.0
night,ql,5,1.0
club,duubs,4,0.75
is,5,2,1.0
replaced,kalzcd,8,0.625
in,iu,2,0.5
its,ch,3,1.0
original,anmuxy,8,1.0
setting,zohu?,7,1.0
.,,1,1.0
prays,q(ys),5,0.8
",",ud,1,2.0
and,il,3,1.0
in,2,2,1.0
a,s2ccu,1,5.0
second,uu(,6,1.0
miracle,20,7,1.0
the,k2_,3,1.0
the,#u,3,1.0
glaring,dasud,7,0.8571
beacon,beccoy,6,0.3333
of,4,2,1.0
a,^,1,1.0
lighthouse,(zd-ocu,10,0.9
.,,1,1.0
tells,~lls,5,0.4
his,ls,3,0.6667
story,s4cry,5,0.4
best,uest,4,0.25
in,ila,2,1.0
the,4,3,1.0
faces,aes,5,0.4
of,4,2,1.0
his,ls,3,0.6667
crowds,crc,6,0.6667
",",as,1,2.0
the,hu,3,0.6667
wildly,311,6,1.0
flapping,#m,8,1.0
white,l,5,1.0
sails,mit,5,0.8
slashed,sals,7,0.7143
by,slaxlud,2,3.5
with,lhc,4,1.0
brutal,ciacl,6,0.8333
honesty,lc,7,1.0
",",4,1,1.0
building,0,8,1.0
up,clla,2,2.0
to,yp,2,1.0
a,,1,1.0
here,ix,4,1.0
",",4,1,1.0
the,ty,3,0.6667
guests,4rcic<,6,1.0
arrive,jl,6,1.0
in,aed-lr,2,3.0
ghost-like,ja_lp,10,0.9
yachts,,6,1.0
",",,1,1.0
a,sul,1,3.0
summary,4,7,1.0
of,nery,2,2.0
the,l8l,3,1.0
story,t,5,0.8
can,lk,3,1.0
give,su,4,1.0
almost,e;|,6,1.0
tremendous,afu~esce^,10,0.9
climax,cgux,6,0.6667
in,4,2,1.0
the,sle,3,0.6667
island,~,6,1.0
orgy,cf,4,1.0
.,,1,1.0
recording,lzoill4,9,0.8889
every,qux>,5,1.0
wrinkle,~rikle,7,0.2857
and,44,3,1.0
drop,are,4,0.75
of,(,2,1.0
sweat,c,5,1.0
indication,~cchss,10,0.9
of,0f,2,0.5
the,4l<,3,1.0
scope,sce,5,0.4
of,lczi,2,2.0
wicki's,'$,7,0.8571
artistry,"~6,try",8,0.625
.,#<,1,2.0
he,,2,1.0
last,6s0,4,0.75
days,lar,4,0.75
of,%,2,1.0
a,.,1,1.0
sick,aick,4,0.25
society,20,7,1.0
.,eky,1,3.0
and,ard,3,0.3333
thoroughly,moroyj,10,0.7
frightening,1yy,11,1.0
.,ksk,1,3.0
wicki,lenj,5,1.0
has,:,3,1.0
marvellous,menedow,10,0.7
joke,gokej,4,0.5
;,mme,1,3.0
no,leo,2,1.0
one,leetne,3,1.3333
has,(,3,1.0
learned,eyylxf,7,0.8571
anything,.,8,1.0
.,uak,1,3.0
wicki,,5,1.0
walking,uaekin,7,0.4286
in,1,2,1.0
the,me,3,0.6667
streets,oleeb,7,0.7143
",",[,1,1.0
smug,ammf;,4,1.0
",","conlen),",1,7.0
content,jehs,7,0.8571
",",aex,1,3.0
satisfied,",",9,1.0
",",,1,1.0
recording,yecorl;,9,0.5556
his,3,3,1.0
personal,es,8,0.75
apocalypse,pe?,10,0.9
of,oa,2,0.5
the,€,3,1.0
succeeded,fxbuaee,9,0.7778
in,/!,2,1.0
his,succeeolesl,3,3.3333
second,en,6,0.6667
film,a;s,4,1.0
in,jeeox,2,2.5
complete,lomp,8,0.625
silence,ek,7,0.8571
he,31,2,1.0
shows,@nc,5,1.0
the,k,3,1.0
faces,jbess,5,0.8
of,hle,2,1.5
people,faceo,6,1.0
when,(jjer,4,1.0
the,ve,3,0.6667
final,kinee,5,0.6
miracle,mitace,7,0.2857
does,occu,4,1.0
occur,s,5,1.0
",",4,1,1.0
it,&,2,1.0
is,accepkzi,2,4.0
accepted,09,8,1.0
as,,2,1.0
a,,1,1.0
suddenly,2udden@y,8,0.25
returns,~ehemo,7,0.8571
to,k,2,1.0
the,me,3,0.6667
city,&ly,4,0.75
for,kx,3,1.0
a,a,1,0.0
final,hne,5,0.8
epilogue,eilefe-,8,0.625
.,,1,1.0
in,,2,1.0
"""",4,1,1.0
dolce,dolca,5,0.2
vita,"viki,",4,0.75
",",7,1,1.0
"""",pr,1,2.0
for,i,3,1.0
it,1,2,1.0
is,ar,2,1.0
far,more,3,1.0
more,inkimak,4,1.75
intimate,cnd/,8,0.875
and,ceply,3,1.6667
deeply,,6,1.0
it,7s,2,1.0
is,marf,2,2.0
most,unfcr,4,1.25
unfair,ko,6,1.0
to,cclq,2,2.0
call,mclacgayec,4,2.0
"""",c,1,1.0
malachias,cut,9,0.8889
"""",-,1,1.0
a,rck,1,3.0
cut-rate,,8,1.0
third,thorck,5,0.6
reich,reck,5,0.4
with,6k,4,1.0
the,ae,3,0.6667
sinking,st^,7,0.8571
of,l's,2,1.5
the,[le,3,0.6667
great,arec/,5,0.6
ocean,ccecn,5,0.4
liner,cnec,5,0.6
",",,1,1.0
in,(2,2,1.0
"""",tilatc,1,6.0
titanic,6y,7,1.0
"""",pcva,1,4.0
by,(a(6,2,2.0
paralleling,4ge,11,0.9091
the,(asl,3,1.3333
last,days,4,0.75
days,of,4,1.0
of,(ge,2,1.5
the,,3,1.0
felt,qee,4,0.75
.,hn,1,2.0
in,ag4y,2,2.0
1944,hebek,4,1.25
herbert,slpn,7,1.0
selpin,kied,6,1.0
tried,qx,5,1.0
a,similar,1,6.0
similar,fecl,7,0.8571
feat,,4,1.0
and,ond,3,0.3333
paid,pad,4,0.25
for,p,3,1.0
his,c,3,1.0
audacity,hi,8,0.875
with,cuudac,4,1.5
his,!fy,3,1.0
life,wll,4,1.0
.,hi,1,2.0
to,to,2,0.0
"""",rojuk;,1,6.0
vogue,caluuj,5,1.0
",",du,1,2.0
"""",cinew&,1,6.0
"""",1,1,1.0
cahiers,@d,7,1.0
du,yh,2,1.0
cinema,,6,1.0
",",,1,1.0
"""",,1,1.0
and,,3,1.0
the,,3,1.0
worst,no,5,0.8
aspects,(tafpects,7,0.4286
of,ot,2,0.5
the,th,3,0.3333
american,hmef,8,0.75
cinema,itgb,6,0.8333
.,cine&,1,5.0
from,klou,4,0.75
out,ouf,3,0.3333
into,juto,4,0.5
a,0,1,1.0
series,setiej,6,0.3333
of,ot,2,0.5
repetitious,detihaul,11,0.6364
sight-gags,fkkf-gain,10,0.7
the,tle,3,0.3333
film,tilm,4,0.25
with,wil,4,0.5
extreme,extime,7,0.2857
coolness,coolnejf,8,0.25
",",",",1,0.0
much,lth,4,0.75
preferring,prcfercing,10,0.2
aznavour,nznovolf,8,0.5
),,1,1.0
.,,1,1.0
est,23t,3,0.6667
une,ln,3,0.6667
femme,iemle,5,0.4
",",o,1,1.0
"""",iinelyone,1,9.0
a,iinut,1,5.0
ninety-one,hxinn,10,0.8
minute,,6,1.0
hymn,,4,1.0
uninitiated,limtakd,11,0.6364
(,including,1,9.0
including,fitt,9,0.8889
four,pkuzr,4,0.75
plugs,fot,5,1.0
for,chalu,3,1.6667
charles,,7,1.0
and,ind,3,0.3333
personal,meatonal,8,0.375
jokes,jotes,5,0.2
incomprehensible,icolarthensible,16,0.25
to,to,2,0.0
the,th,3,0.3333
strangely,dhangh,9,0.6667
enough,"onougl,th",6,0.6667
",",keiliu,1,6.0
the,gulience,3,2.3333
berlin,rce(red,6,1.0
audience,,8,1.0
received,,8,1.0
a,o,1,1.0
brilliantly,bcillianthy,11,0.1818
funny,tunny,5,0.2
start,ctut;,5,0.8
",",the,1,3.0
the,work,3,1.3333
work,{122les,4,1.75
fizzles,,7,1.0
jean-luc,jon,8,0.75
godard's,mc,8,1.0
disappointing,qodacd',13,0.9231
"""",$,1,1.0
une,qusapoinhng,3,3.0
femme,"""une",5,0.8
"""",4,1,1.0
unheimliche,bshnbok,11,0.9091
geschichten,jrahschbn,11,0.6364
"""",(aso,1,4.0
(,),1,1.0
1920,1,4,0.75
),lue,1,3.0
",",3h_z,1,4.0
five,olaaeo,4,1.25
ghost,,5,1.0
stories,,7,1.0
this,thib,4,0.25
director,drckr,8,0.5
is,h,2,1.0
at,at,2,0.0
last,laol,4,0.5
being,hid,5,0.8
re-evaluated,he,12,0.9167
and,t,3,1.0
with,uill,4,0.75
a,0,1,1.0
light,zght,5,0.4
touch,yauel,5,0.8
",",),1,1.0
and,ond,3,0.3333
there,hheae,5,0.4
was,"""o",3,1.0
much,?,4,1.0
to,"mud,",2,2.0
admire,yo,6,1.0
given,7i0,5,0.8
his,hio,3,0.3333
proper,popu,6,0.5
place,plclce,5,0.4
in,4,2,1.0
the,yne,3,0.6667
history,hotord,7,0.4286
of,c,2,1.0
the,she,3,0.3333
germany,ismany,7,0.4286
to,%o,2,0.5
start,~otof,5,1.0
the,yhz,3,0.6667
first,78ot,5,0.8
world,wo,5,0.6
war,ld,3,1.0
.,ho,1,2.0
tries,lio,5,0.8
to,yo,2,0.5
show,ou,4,0.75
that,lhav,4,0.5
it,44,2,1.0
took,iook,4,0.25
more,mo+,4,0.5
than,var,4,0.75
just,7uvi,4,0.75
but,hut,3,0.3333
extremely,exlremalyy,9,0.3333
important,epartosl,9,0.6667
"""",4,1,1.0
1914,a9a4,4,0.5
"""",4,1,1.0
(,(4934,1,4.0
1931,1,4,0.75
),uhyol,1,5.0
",",,1,1.0
which,,5,1.0
in,in,2,0.0
"""",4,1,1.0
dreyfus,dekp,7,0.7143
"""",(1982,1,5.0
(,",",1,1.0
1930,and,4,1.0
),hhe,1,3.0
and,uirluaeld,3,2.3333
the,uuknaun,3,2.3333
virtually,,9,1.0
unknown,,7,1.0
german,smon,6,0.6667
film,[tr,4,1.0
.,fhosz,1,5.0
most,chaum3,4,1.5
charming,1o,8,1.0
was,),3,1.0
his,hio,3,0.3333
tongue-in-cheek,yanqw,15,0.9333
and,and,3,0.0
the,tle,3,0.3333
audience,audlance,8,0.25
at,at,2,0.0
the,#e,3,0.6667
awards,alscds,6,0.5
was,us,3,0.6667
particularly,pchcullarey,12,0.5
film,hlw,4,0.75
.,gifled,1,6.0
gifted,kh,6,1.0
with,an,4,1.0
an,interesting,2,5.0
interesting,face,11,0.9091
face,althousl,4,2.0
",",qlmtqe,1,6.0
although,,8,1.0
little,,6,1.0
generous,joeco4s,8,0.625
in,9i9,2,1.0
giving,qveryone,6,1.1667
everyone,somelling,8,0.875
something,qnd,9,0.8889
",",siver,1,5.0
and,,3,1.0
silver,,6,1.0
worth,lbrth,5,0.4
watching,lading,8,0.5
in,4ne,2,1.0
the,ontes,3,1.3333
months,fo,6,0.8333
to,con,2,1.0
come,2,4,1.0
.,,1,1.0
bears,deac,5,0.6
are,cc_,3,1.0
awarded,ausacded,7,0.4286
in,1o,2,1.0
every,qsery,5,0.4
direction,direch,9,0.4444
.,on,1,2.0
both,rxll,4,1.0
the,#e,3,0.6667
sentence,sentence,8,0.0
database,dotabase,8,0.125
c02-059,coz,7,0.8571
as,as,2,0.0
best,qsest,4,0.5
actress,ackess,7,0.2857
for,for,3,0.0
her,her,3,0.0
work,lbck,4,0.75
in,in,2,0.0
the,#,3,1.0
godard,godord,6,0.1667
acting,nchcg,6,0.6667
ability,aeety,7,0.5714
",",sle,1,3.0
she,cal,3,1.0
would,ld,5,0.6
seem,seen~,4,0.5
to,fo,2,0.5
be,qe,2,0.5
well,celq,4,0.5
enthusiastic,entluslaskc,12,0.3333
when,clen,4,0.5
one,onq,3,0.3333
miss,hiss,4,0.25
anna,anm,4,0.5
kerima,kormg,6,0.5
was,lns,3,0.6667
selected,selected,8,0.0
prizes,prizes,6,0.0
being,@elog,5,0.6
what,llal,4,0.75
they,4cy,4,0.75
are,are,3,0.0
",",beclio,1,6.0
berlin,(,6,1.0
is,unusually,2,4.0
unusually,,9,1.0
antonioni,anronion,9,0.2222
and,an,3,0.3333
wicki,uicki,5,0.2
films,tls,5,0.6
took,took,4,0.0
high,wigl,4,0.5
honours,onoucs,7,0.2857
",",,1,1.0
living,"vring,",6,0.6667
",",hha+,1,4.0
that,onc,4,1.0
once,2,4,1.0
seemed,seemed,6,0.0
so,so,2,0.0
new,oelu,3,1.0
and,and,3,0.0
so,so,2,0.0
situation,"s,",9,0.8889
and,tuabon,3,1.6667
movement,and,8,0.875
it,movement,2,3.5
matters,',7,1.0
a,modeis,1,6.0
lot,0,3,1.0
),jo,1,2.0
is,/,2,1.0
about,oboul,5,0.4
it,"i},",2,1.0
",",of,1,2.0
of,@normous,2,3.5
enormous,cine,8,1.0
cinematic,mabc,9,0.6667
enjoyment,@ij,9,0.8889
",",ogment,1,6.0
and,0rd,3,0.6667
it,h,2,1.0
has,hos,3,0.3333
a,0,1,1.0
great,ar,5,0.8
look,ead,4,1.0
of,lool,2,1.5
speed,of,5,1.0
and,specct,3,2.0
technical,oncl,9,0.6667
fun,jechnical,3,2.6667
above,aboue,5,0.2
all,oll,3,0.3333
of,%,2,1.0
cinematic,cnmobc,9,0.5556
sense,senfe,5,0.2
.,tluch,1,5.0
much,%f,4,1.0
of,#,2,1.0
it,has,2,1.5
has,,3,1.0
who,hho,3,0.3333
spends,spends,6,0.0
a,q,1,1.0
few,tewu,3,0.6667
days,doys,4,0.25
with,4zll,4,1.0
an,an,2,0.0
american,ameren,8,0.375
girl,76,4,1.0
sense,scns2,5,0.4
of,of,2,0.0
plot,plof,4,0.25
",",mo,1,2.0
matters,hers,7,0.5714
much,much,4,0.0
;,but,1,3.0
but,1n,3,1.0
in,7pe,2,1.5
the,sqnse,3,1.3333
sense,of,5,1.0
of,),2,1.0
that,that,4,0.0
air,air,3,0.0
of,of,2,0.0
improvisation,"improvisohon,",13,0.3077
",",@s,1,2.0
as,0,2,1.0
of,f,2,0.5
off-the-cuff,cff-hhe,12,0.5833
attractive,o#rochre,10,0.7
.,7he,1,3.0
the,stoy,3,1.0
story,(ncv,5,1.0
(,hot,1,3.0
not,fhe,3,1.0
that,stoc',4,1.0
the,12,3,1.0
story,tha,5,0.8
",",,1,1.0
in,,2,1.0
the,,3,1.0
that,tht,4,0.25
of,ef,2,0.5
a,0,1,1.0
man,non,3,0.6667
on,on,2,0.0
the,hhe,3,0.3333
run,run,3,0.0
(,(jea,1,3.0
jean-paul,ru/,9,0.8889
belmondo,"setmonco),",8,0.625
),,1,1.0
",",,1,1.0
lated,qaked,5,0.4
into,iko,4,0.5
seven,seukn,5,0.4
days,d2x,4,0.75
...,sexrn,3,1.6667
seven,nishb-,5,1.2
nights,,6,1.0
...,,3,1.0
in,io,2,0.5
moderato,nodualo,8,0.5
cantabile,cactabie,9,0.2222
(,cunouly,1,7.0
curiously,4ans,9,0.8889
trans-,,6,1.0
well,wel,4,0.25
trounced,houced,8,0.375
by,by,2,0.0
the,h,3,0.6667
critics,ccko,7,0.8571
wherever,cuhereur,8,0.5
it,,2,1.0
in,6o,2,1.0
france,tranco,6,0.3333
and,and,3,0.0
shown,shown,5,0.0
last,qo,4,1.0
autumn,ahsmo,6,0.6667
at,3,2,1.0
has,hao,3,0.3333
appeared,apeaura,8,0.5
.,jesurlys,1,8.0
leisurely,quen,9,0.7778
",",3owj,1,4.0
even,,4,1.0
slow,,4,1.0
",",,1,1.0
a,a,1,0.0
certificate,cuhfcak),11,0.6364
),peku,1,4.0
",",srwo8,1,5.0
peter,'s,5,1.0
brook's,hb,7,1.0
film,madr,4,1.0
made,,4,1.0
the,hhe,3,0.3333
london,ondor,6,0.3333
film,tls,4,0.75
festival,teohua,8,0.75
.,6o,1,2.0
in,spi,2,1.5
spite,ke,5,0.8
of,op,2,0.5
from,pcoc~,4,1.0
jeanne,}ans,6,0.6667
moreau,novau,6,0.5
",",",",1,0.0
this,h,4,0.75
has,hac,3,0.3333
been,beeo,4,0.25
fairly,jarey,6,0.5
belmondo,belr,8,0.625
reappears,183,9,1.0
at,ppeao,2,2.0
the,3,3,1.0
paris,hh,5,1.0
pullman,"""pacs",7,1.0
magnificent,mac~f,11,0.7273
performances,cect,12,0.8333
from,pefom8nce,4,1.75
him,fra,3,1.0
and,hm,3,1.0
malden,+,6,1.0
not,a(a,3,1.0
knowing,e,7,1.0
how,^,3,1.0
to,0o,2,0.5
take,|,4,1.0
it,cno6,2,2.0
",",'n4,1,3.0
all,ca,3,1.0
rolling,((,7,1.0
eyeballs,0,8,1.0
like,eze,4,0.75
a,ba,1,1.0
villain,vs,7,0.8571
donahue,onahu,7,0.2857
;,e,1,1.0
and,an8,3,0.3333
claudette,cuaulelle,9,0.4444
colbert,calbecl,7,0.4286
",","<],",1,2.0
still,,5,1.0
with,0h,4,0.75
a,c,1,1.0
large,6rsse,5,0.8
blond,6,5,1.0
youth,sa,5,1.0
of,youlk,2,2.0
quite,9,5,1.0
charming,ehar,8,0.625
amid,m,4,0.75
the,1,3,1.0
nonsense,am,8,1.0
",",",8",1,1.0
and,kae,3,1.0
karl,0o,4,1.0
dazzling,ak,8,0.875
dumbness,az,8,1.0
called,&un,6,1.0
troy,4,4,1.0
from,0,4,1.0
east,0,4,1.0
lynne,m,5,1.0
.,ees],1,4.0
this,ihis,4,0.25
unity,unily,5,0.2
of,0f,2,0.5
conception,concephon,10,0.2
and,and,3,0.0
control,conhol,7,0.2857
are,gn,3,1.0
play,ply,4,0.25
a,0,1,1.0
taste,task,5,0.4
of,of,2,0.0
honey,hoey,5,0.2
opens,opens,5,0.0
at,gt,2,0.5
the,`he,3,0.3333
leicester,ceiceskea,9,0.3333
part-author,padf-,11,0.7273
with,aulho,4,1.0
miss,w/h,4,1.0
delaney,miss,7,1.0
of,delaney,2,3.5
the,of,3,1.0
script,ye,6,1.0
",","scnpt,",1,5.0
an,an,2,0.0
directed,dirckd,8,0.375
by,by,2,0.0
mr.,hc,3,1.0
tony,",",4,1.0
richardson,toy,10,0.9
",",(iclardson,1,10.0
who,",",3,1.0
is,who,2,1.5
also,is,4,0.75
and,and,3,0.0
the,ynq,3,1.0
great,siat,5,0.6
advantages,oduantages,10,0.2
to,+,2,1.0
be,be,2,0.0
derived,denued,7,0.4286
from,forh,4,0.75
the,thc,3,0.3333
film,alm,4,0.5
version,uc,7,1.0
of,(,2,1.0
miss,sion,4,0.75
shelagh,0,7,1.0
delaney's,f,9,1.0
square,fquae,6,0.3333
theatre,theatre,7,0.0
tomorrow,jomorow.,8,0.375
.,it,1,2.0
it,has,2,1.5
has,been,3,1.3333
been,p',4,1.0
produced,oduced,8,0.25
everywhere,lulywhee,10,0.5
apparent,gparent,8,0.25
.,,1,1.0
to,hs,2,1.0
be,6,2,1.0
derived,derwuce,7,0.5714
from,ecor,4,0.75
this,hl,4,0.75
unity,ehs,5,1.0
of,c,2,1.0
conception,cecem,10,0.7
and,ler,3,1.0
control,anx,7,0.8571
taste,eh,5,1.0
of,4,2,1.0
honey,kuw4,5,1.0
opens,ie,5,0.8
at,a,2,0.5
the,4,3,1.0
leicester,lecel,9,0.5556
square,lauarr,6,0.5
theatre,uuk,7,1.0
tomorrow,hrnvrrow,8,0.5
.,u,1,1.0
it,k,2,1.0
has,ks,3,0.6667
been,treducer,4,1.5
produced,anl,8,1.0
and,covekex,3,2.3333
directed,6,8,1.0
by,,2,1.0
mr.,ju,3,1.0
tony,.,4,1.0
richardson,towg,10,1.0
",",rkrreae,1,7.0
who,avl,3,1.0
is,m,2,1.0
also,alat,4,0.5
part-author,{a,11,0.9091
with,/,4,1.0
are,nt&,3,1.0
everywhere,werqu,10,0.8
apparent,eerc,8,0.875
.,"""nereuk",1,7.0
miss,"v""",4,1.0
delaney,pelanenx,7,0.4286
of,4,2,1.0
the,h,3,0.6667
script,rerpk,6,0.6667
",",anc,1,3.0
and,mk,3,1.0
the,tenk,3,1.0
great,acban,5,0.8
advantages,kte,10,0.8
the,t,3,0.6667
film,/a,4,1.0
version,lermm,7,0.7143
of,4,2,1.0
miss,k,4,1.0
shelagh,uoky,7,1.0
delaney's,pha,9,0.8889
play,2,4,1.0
a,rled,1,4.0
apparent,opparthr,8,0.5
.,,1,1.0
the,the,3,0.0
film,{lm,4,0.5
version,venoh,7,0.5714
of,0,2,1.0
miss,min,4,0.5
shelagh,ihelagh,7,0.1429
delaney's,dzlanuy^,9,0.4444
play,play,4,0.0
a,4,1,1.0
taste,tle,5,0.6
of,o4,2,0.5
honey,#oney,5,0.2
opens,ope,5,0.4
at,6},2,1.0
the,the,3,0.0
leicester,leicerter,9,0.1111
square,aquare,6,0.1667
directed,(litecledl,8,0.625
by,by,2,0.0
mr.,me,3,0.6667
tony,.,4,1.0
richardson,tovy,10,1.0
",",lithasdaon,1,10.0
who,wlno,3,0.6667
is,ma,2,1.0
also,oao,4,0.75
part-,prd_,5,0.6
theatre,theakie,7,0.2857
tomorrow,tomottow_,8,0.375
.,x,1,1.0
it,knoa,2,2.0
has,been,3,1.3333
been,pro,4,1.0
produced,dlu,8,0.875
and,cecl,3,1.3333
unity,qiu,5,0.8
of,concephon,2,4.0
conception,lwd,10,1.0
and,cottol,3,2.0
control,lue,7,1.0
are,euuryushuc,3,3.0
everywhere,,10,1.0
the,hae,3,0.6667
great,geat,5,0.2
advantages,odlvontaqrs,10,0.5
to,yo,2,0.5
be,be,2,0.0
derived,(eiued,7,0.4286
from,fom,4,0.25
this,thr,4,0.5
author,lluthot,6,0.5
with,kvitla,4,1.0
miss,mi,4,0.5
delaney,delany,7,0.1429
of,c,2,1.0
the,te,3,0.3333
script,auipot,6,0.6667
",",ano,1,3.0
and,,3,1.0
play,plad,4,0.25
a,h,1,1.0
taste,taak,5,0.6
of,%,2,1.0
honey,honed,5,0.2
opens,opena,5,0.2
at,mhe,2,1.5
the,leiceskr,3,2.3333
leicester,,9,1.0
be,are,2,1.0
derived,dettived,7,0.2857
from,tom,4,0.5
this,hhn,4,0.75
unity,vnily,5,0.4
of,2,2,1.0
conception,concaphon,10,0.3
and,ancl,3,0.6667
square,aquae,6,0.3333
theatre,theate,7,0.1429
tomorrow,#omotton:,8,0.625
.,h,1,1.0
it,ha,2,1.0
has,aeen,3,1.3333
been,pto,4,1.0
pro-,,4,1.0
duced,duced,5,0.0
and,&d,3,0.6667
directed,direcled,8,0.125
by,ad,2,1.0
mr.,ju,3,1.0
tony,.,4,1.0
richardson,tond,10,0.9
",",richadaon,1,9.0
of,%},2,1.0
the,#ne,3,0.6667
script,acrpl,6,0.5
",",end,1,3.0
and,he,3,1.0
the,{teet,3,1.0
great,aevonlaqes,5,1.8
advantages,,10,1.0
to,,2,1.0
who,mho,3,0.3333
is,4,2,1.0
also,abo,4,0.5
part-author,pat,11,0.7273
with,-,4,1.0
miss,uxhor,4,1.25
delaney,ithh,7,1.0
control,control,7,0.0
are,ge,3,0.6667
everywhere,wvettmhene,10,0.5
apparent,zfpatent.,8,0.5
.,,1,1.0
the,thc,3,0.3333
film,htm,4,0.75
version,detsh,7,0.7143
of,%,2,1.0
miss,mtion,4,0.75
shelagh,ahetagth,7,0.4286
delaney's,delaney,9,0.2222
control,couho,7,0.5714
are,l,3,1.0
everywhere,oure,10,0.8
apparent,euertkwhene_,8,1.25
.,oppeweut,1,8.0
also,also,4,0.0
part-author,pewt,11,0.8182
with,-qullov,4,1.75
miss,wilha,4,1.0
delaney,f,7,1.0
of,deloek,2,2.5
the,ot,3,1.0
script,heript,6,0.3333
",",",",1,0.0
and,on0,3,0.6667
the,ma,3,1.0
great,rrat,5,0.4
advantages,odvanlaqea,10,0.4
to,k,2,1.0
be,c,2,1.0
the,7e,3,0.6667
film,ibn,4,0.75
version,veruor^,7,0.5714
of,04,2,1.0
miss,llm,4,1.0
shelagh,dhelogh,7,0.2857
delaney's,deloer^,9,0.5556
derived,olexiveol,7,0.7143
from,kron,4,0.5
this,aw,4,1.0
unity,unikr,5,0.4
of,ok,2,0.5
conception,coneephic,10,0.4
and,^,3,1.0
and,oel,3,1.0
directed,diecleol,8,0.5
by,6y,2,0.5
mr.,yl,3,1.0
tony,.,4,1.0
richardson,tovrk,10,0.9
",",ricbodlaox,1,10.0
who,ikho,3,0.6667
is,,2,1.0
square,aquovc_,6,0.8333
theatre,tleahc,7,0.5714
tomorrow,mowovrow.,8,0.5
.,l,1,1.0
it,baa,2,1.5
has,ce,3,1.0
been,prodtucled,4,2.25
produced,,8,1.0
play,plaut,4,0.5
a,a,1,0.0
taste,tayle,5,0.4
of,0},2,1.0
honey,#onux,5,0.6
opens,oplen,5,0.4
at,0/,2,1.0
the,hic,3,1.0
leicester,leicealey,9,0.3333
richardson,rich,10,0.6
",",),1,1.0
who,lh,3,0.6667
is,1c,2,1.0
also,al,4,0.5
part-author,t;,11,0.9091
with,cylhr,4,1.0
of,ceneplicn,2,4.5
conception,cd,10,0.9
and,cenlral,3,2.0
control,cre,7,0.7143
are,eeryuhee,3,2.0
everywhere,,10,1.0
play,ply,4,0.25
a,(,1,1.0
taste,kalk,5,0.8
of,a},2,1.0
honey,hn,5,0.6
opens,ep3ns,5,0.4
at,al,2,0.5
the,+,3,1.0
been,bz,4,0.75
produced,preducced,8,0.25
and,and,3,0.0
directed,direcled,8,0.125
by,b,2,0.5
mr.,a:,3,1.0
tony,br,4,1.0
miss,his,4,0.5
delaney,dlanay,7,0.2857
of,c,2,1.0
the,+he,3,0.3333
script,scrpt,6,0.1667
",",2,1,1.0
and,an,3,0.3333
the,+,3,1.0
great,,5,1.0
the,1e,3,0.6667
film,fl,4,0.5
version,lskn,7,0.7143
of,gq,2,1.0
miss,ulks,4,0.75
shelagh,gfekgh,7,0.5714
delaney's,dknes,9,0.5556
leicester,leiesle,9,0.3333
square,c@e,6,0.8333
theatre,ate,7,0.5714
tomorrow,oools),8,0.75
.,1+,1,2.0
it,h_,2,1.0
has,,3,1.0
advantages,cdulcrys,10,0.8
to,4,2,1.0
be,he,2,0.5
derived,dried,7,0.2857
from,fen,4,0.75
this,#,4,1.0
unity,unity,5,0.0
apparent,cippa1er,8,0.625
.,,1,1.0
conceived,conciud,9,0.3333
throughout,4hroughoutt,10,0.2
in,jn,2,0.5
terms,jrms,5,0.4
of,of,2,0.0
the,hbe,3,0.6667
cinema,cinqa,6,0.3333
",",,1,1.0
the,inl,3,1.0
atmosphere,atmos,10,0.5
of,phere,2,2.5
a,of,1,2.0
city,0,4,1.0
.,cily,1,4.0
of,0f,2,0.5
the,yq,3,1.0
story,story,5,0.0
",",and,1,3.0
and,yhe,3,1.0
the,marage,3,1.6667
marriage,04,8,1.0
of,yhl,2,1.5
the,cekal,3,1.6667
central,,7,1.0
and,ndl,3,0.6667
again,agalin,5,0.2
and,and,3,0.0
again,agai,5,0.2
it,t,2,0.5
is,is,2,0.0
the,4he,3,0.3333
visual,oisual,6,0.1667
qualities,qualt,9,0.4444
this,mhis,4,0.25
is,is,2,0.0
not,not,3,0.0
a,o,1,1.0
filmed,tilmed,6,0.1667
play,play,4,0.0
.,hj,1,2.0
it,hoj,2,1.5
has,beeh,3,1.3333
been,,4,1.0
also,also,4,0.0
