index,ground_truth,ocr_output,cer
2123,is not yet a unitary world .,aN nol yeh Ov ash eae ee,0.6786
2124,truism that policies of menace and mutual disarmament,behaaes: AWA pelicies ee monoce ocd enurihide dat niiet,0.6415
2125,and it is an achievement - is to make religious con-,onl \ ‘s Om of ea} —\ & a rehaQaus COW >,0.6923
2126,tact across the greatest political barrier in what,"heck OCtOSs ae oy enter palitica Midst as -, el",0.64
2127,cannot be followed together . What the council has done -,howe Mc! 4 \Wored Yoo res A ea Tag pehisdiee ray |,0.7368
2128,But discussion on current points of east-west con-,BRA Ass coagsron Ow ace pos oe eat ese Cus,0.58
2129,"flict could not go much farther than , for example , the",Hck coh oak ag a yoer Van a exon ple Abe,0.6071
2130,"short and modest in scope , and it is doubtful whether the other Private","short and woday ui scope , aud jt ig dowblfut wherkar tle ater Private",0.25
2131,The notification he envisages must be given at least two days before the,The nohficahon AX envisages must AR gians al Least two days Qefore Te,0.2222
2132,agreement is signed . To this there will be some opposition . The Bill is,ag rea matt is sinad. To tus Thoe with Be scut opposihcu. The SIU is,0.3836
2133,next report from the Molony committee .,AXE parr fre Hie Hoy = counutsttae .,0.5897
2134,Members' Bills in the offing will fill all the gaps . This fact may give,Heubers” Bills we HO yfrug will full att He saps. Tis fack way sive,0.3194
2135,the Government an extra excuse for counselling patience until the,TUL qe au AXM excuce for counsallug patoua uukt rhe,0.4923
2136,parliamentary opinion by at least allowing these Bills a fair run .,par bawoutory cpinicy by af (aaust alles TUO BIS a four ru .,0.4478
2137,"however , disdain this opportunity of obtaining a useful sample of",LowAWwar  disdcuu puis oppatunity of craig Q usaftih sawiple of,0.3939
2138,"Comprehensive legislation is obviously preferable . They should not ,","COUP UOUSKA logisahou is CDVNOUSDY preferabla . Tu2 shatid uct,",0.5217
2139,logical Office .,ogicas Oa .,0.4375
2140,Centigrade v. Fahrenheit . The fight is on . The challenger has behind,Couharoda y. Falweuhorr. Ts Aglth is cu. Tue cbalauger Las bell,0.4857
2141,but also the backing of the DIRECTOR GENERAL of the Meteoro-,bur algo TUX backuty of Fun DIRECTOR GENERAL of Huo Hetero -,0.2833
2142,it not only the authority of the SECRETARY of STATE for AIR,IF ue y Tua ou thertry of Hig SECRETARY of STATE fer Ae,0.3729
2143,fahrenheit the knock out . The backers of,Jotrerr toch [ee Auock ant. The packer af,0.4878
2144,ratures will be put in the ring together .,"pol repLo pou fee prt pr Hee arg bogotteer ,",0.619
2145,explain the advantages to the general,ox plow {Reo advantages fo {Reo Gaara oe,0.5135
2146,about it yesterday . The purpose is to give,oisaut af useless Uke: PLt parr > be goer,0.7442
2147,"SIR GRAHAM SUTTON , however , made no bones","SiR Ge AHAH SUTTOn, | Low over, Urookk Uo do merry",0.5581
2148,public of the change .,par bLeo of {Qo Chncere ge :,0.7727
2149,"asked to help . To begin with , both tempe-","doked lo Lalp, To eager wile § bole leeupe -",0.4651
2150,The press and the broadcasting authorities are,,1.0
2151,start if they had taken more pains to,oka pf Uy Jind Joker vist pase te,0.5946
2152,centigrade would have got off to a better,came gr ole wate have oot otf to a falter,0.3902
2153,"however , seems a matter of the convenience",a Vé€@hin a nrater of Me Con vbenIence,0.5349
2154,"the measurement of temperatures . This ,","Moe watatascinent of ternperatares, hey",0.525
2155,"to be put out for the sake of 50,000 is there",to $e put out for oe fake of i ee,0.3333
2156,any reason why the centigrade countries,"oa KEAN On iihey tee cenherace Cbiccnties,",0.6154
2157,of specialists . The ordinary British man,of trecialah. /hee orc nary Peticl. immer.,0.5366
2158,It is true that SIR GRAHAM said there is,Tjaden Pot 512 GOAdA on,0.8
2159,"at the moment "" an awful mess up "" in",at Hae mount ‘au Atopul wer Uj Shes,0.5405
2160,and woman is conscious of no difficulty .,"Coad Wo0man & COE brio, of tro bills cos bly,",0.7073
2161,Rather than fifty million people having,FasLa- Wi ai. pfly ili on People hating,0.4615
2162,should not change to fahrenheit ?,foi fol ied chan ge fo ee: ¢,0.6364
2163,system of recording temperatures .,Ippon yf con dry denpocrns,0.7059
2164,public to go over to decimal coinage - in certain,pub i fo ae 0 docmal coma ' mn ani,0.5102
2165,suit their convenience - rather than to change their,Jit Iw con lin 1a dhan 4 change hw?,0.5192
2166,Even then it might be easier to persuade the British,He mut if ni Mt foniy fo pena ty di,0.6346
2167,have to call up the reinforcement of the Common Market .,hao b cal 4p ih bnovcamot of he (onan Hat |,0.4643
2168,circumstances the time would come when this would,ounsianasy de dn joould com whin do pald,0.5306
2169,strably better than the other ? The centigraders may,Maly de than iv oho ? The cursighadlto may,0.4231
2170,be in for a stiffer fight than they think . They may,i A? ne {ie Than ty thik ty ay,0.5577
2171,Can it be shown that the one scale is demon-,fan i he shown dhad de ok Joab P dumon-,0.3636
2172,became very unpopular .,,1.0
2173,roped in . The only result was,rope Cn. [he oy rel we.,0.3667
2174,that the well-meaning corporation,,1.0
2175,"Once before , and that not so long ago , the","free tnefortaened eA wed mo Eom age, Hh",0.5909
2176,"clock . Then , also , the B.B.C. were",,1.0
2177,"In any case , fahrenheit need not lose heart .",,1.0
2178,the adoption of the twenty-four hour,the adoption of He buerty- four tor,0.2222
2179,authorities ganged up to alter the habits,,1.0
2180,of the people . That effort was to enforce,{prope [het fled wae bo enforce,0.4762
2181,the murder of Patrice Lumumba . Her,the wurde <}- Pate ica ers ae tie,0.5429
2182,stands at the centre of an international,Steams at We Corin We ef an iobernelh'enal,0.5
2183,storm . Belgium is accused - without a,cterwn . IS e\ Gr eum iS Accreeee) — wn th out cA,0.6842
2184,scrap of evidence - of being implicated in,Screp ro ensivolerrcea ~ ol berg wast cabed LM,0.5714
2185,A BAFFLED and bewildered little country,Dh BATELED ari Ge2.> oo tHe cooly,0.5897
2186,"leaders are insulted , her embassies are",oa Cre vres hed | Nec Ceroarc_foassies Are,0.625
2187,attacked in a score of countries .,othe k 2 | ek tn Sd ey Co gubevcs.,0.7647
2188,will not admit they were wrong . So,,1.0
2189,"trouble in the Congo , orders every Belgian","thre ~ Cle Sit No, Cates atrders <5 EMA Selgian",0.5814
2190,is made their scapegoat .,,1.0
2191,citizen to quit his country . HOUNDING,Ci Fan +o quik his cosutky. HOUNDING,0.2895
2192,has done more than most to stir up,,1.0
2193,"In Ghana , President Nkrumah , who","Sie Gre \nntee ane , Pres tDenrtk A Sinethins a",0.9412
2194,said the Congolese could govern themselves,Se tel Wo Cougoiese smeankon qr Srewasedves,0.6429
2195,Belgium has become an international,Selgie wm Lae ee CON Pe,0.7143
2196,"troubles , mourning a terrible air crash ,","teabie>, wVnrieo CT WU a fer eigle ave coath,",0.6429
2197,"Belgium , bowed down by internal","Set gen, iid voum Cx Ww bernral",0.6562
2198,pastime . Why ? Because those who,park. Loly | “Becawse Whose who,0.3939
2199,larders been so well stocked .,"a, es Ol a SO — Cte ok ol ;",0.7333
2200,Who will speak for Belgium ? Who else but,= aes Speak tev Bel que | Ush ec eke Oct,0.5854
2201,Britain . We have fought beside Belgium,Srila. Ue wane Leet GesiGe Belg wor,0.4872
2202,families ! Never before have Britain's,Kemi er Nees Cea ails th ak,0.6842
2203,Britain should champion Belgium . Not,——_ are el cate Ea ok aap ion Belaqwu . Net,0.7027
2204,"with the careful , hooded language of diplomacy ,","cant ah. Re careful, \n oedeca \arnaqr age of Nplewmecy ,",0.5306
2205,in two world wars . We are allies still .,i tu © car cul el A9exse . (ya So re allies ski \\ °,0.6829
2206,but boldly and fearlessly . It is time to,t cake Gei shy a fearlessly. \ WS ie Le,0.561
2207,"desert her friends . HAPPY , happy","derek her Pie dk. HATPY, heen",0.4118
2208,show the world that this country does not,ict nn Ae ia eimansnslaiah deal As cmsptns @ ses nok,0.9268
2209,splendid variety of goods to choose from .,SHe—> +s Vavichy o} peodS be cleore Prow .,0.5476
2210,substantially higher last year than in 1959 .,,1.0
2211,abundance . Now it is mother who,i a ‘ DS esa .e Ls ee ew oon,0.75
2212,Supplies of meat and dairy produce were,,1.0
2213,Not so long ago older folk were reminding,,1.0
2214,picks up recipes from # her daughter .,> ‘is ve vec pes Keen tee: Vo Sa calster :,0.6842
2215,"shortages , of the good old days of","Slhecbagss, a) 7 Qeed wie Jays oF",0.5714
2216,"Lucky , lucky housewives ! To have such a","—jtpivck4, Vu ck We wren des ""hs late Sh athe",0.7561
2217,"young wives , # harassed by","ars Usives, ie neta \ uae eel Ge",0.8519
2218,"television network , N.B.C. And hour after hour it poured out its","Wein mated, NBC Amd Kor afltic hurt poured at ub",0.4769
2219,"Britain today ! "" THIS is colour day , "" proclaimed the American",B inti Gr THIS tn ban da. prrloumed the Armenian,0.5
2220,The dinner table is the best answer to the grumblers in,TRo dimmer the in We fod anewtr 6 the gran tHine tn,0.4909
2221,programmes in bright colours . In America colour TV is five years,Prrpamers km AMER glre. Im Arminia Wut is five Hans,0.5538
2222,"The B.B.C. is ready to launch a colour TV service , but the","Tho B.6-C. i andy femmch n lar Wma, od He",0.5932
2223,"old . There are already 600,000 sets in use . What about Britain ?","td. There ane wanda 600,000 Ate in ove Wher abnt Raub?",0.4242
2224,commercial TV contractors want to delay it for 10 years .,ummnrus) TV crt mel fy daly 6 fl 10 pena.,0.5614
2225,The Government should settle this argument with two words to,The Goeromut shed actif the arpumet mth tum anode ti,0.4167
2226,by the deaths of two elderly sisters who killed themselves because,"By the danthe of tn olded, ‘tutors re Alle! Chemsclnes Leaman",0.4242
2227,"Newmarket urban council , says : "" I shall always feel this as a","MVermanhel hon trumisl Noga"" shall Lira fel th, a1 a",0.5312
2228,"they had to leave their cottage . Mr. John Crabb , clerk to","ay ad by Leare hain colbge. Me Tha Cobh, dk G",0.5085
2229,the B.B.C. : - Go ahead ! ONE man beyond all others is saddened,He BA.C.: - Gp oheod! ONC myn beyond. aff this in indlaned,0.3492
2230,"personal failure . """,ume flare,0.75
2231,sisters had to quit as their home was falling down . And Mr. Crabb,patina Rad. be gust oo Han Keme ee folllog dover. And Mi. Catt,0.5152
2232,"did his best for them , even driving them to a new house . John","Hid, Mis Lek fo. ere» wom dung thr 6 a eur home. Toho",0.5079
2233,does not want his daughter to marry a Scotsman .,"Aiea nek mes faa avahl, Go many a Serteman.",0.5208
2234,There is no reason whatsoever why he should reproach himself . The,"The ump Ateam Whatareer ay, Ae Heol Agra himutf, . The",0.5152
2235,often lacking in officialdom . MR. HENRY NEWTON of Acton,fli {aching tin. oflcwdon. MR. HENRY MENTOR of Alen.,0.3929
2236,Crabb has the qualities of sympathy and understanding . Too,fall fea che adhere sympathy end wrdoatindng . Tir,0.4746
2237,be in England . The first ruler of the United Kingdom was a,te tm Emalerd. The frat nly of the Urmatid Kartiborr Ara a,0.4746
2238,He says that the Scots are foreigners who have no business to,He says Aas he Serle ane frwgttna ar Keire me Laas le,0.5574
2239,Scot . The Lord Chancellor is a Scot . The Prime Minister is a,Sot. The Lad Clana ina. So Th thine Mik ee &,0.5
2240,may be guilty of rebellion !,ras Le gully of Athol.,0.5357
2241,Scot - and so were four of his predecessors this # century .,Suk - ond ne mere Pr of Ma predeconmra thes Ch onli.,0.4667
2242,Let Mr. Newton beware . By protesting against Scotland he,lok Ma. Newer fewnr - bq prising agasasl Sotbnd Ae,0.4211
2243,company will sign on again .,Co wapetiney will Sign On aqaun .,0.4286
2244,His ex-Eoka Government decides that Cyprus will join it for,His Cx - Eoka nee decseles thet Cyprus will join it for,0.2542
2245,safe bet that at the end of five years Makarios and,ele te tat ak a «ead of Gee years ebeiliea wil,0.4902
2246,all the trading benefits of Imperial Preference . It is a,all lhe hadsng beepite of lmpervel Tekrence iss,0.3684
2247,to subsidise and defend the Cypriots . They will enjoy,"L, subsidise anel defend Lhe Cpriofs | They vill eyeoy",0.2037
2248,ARCHBISHOP MAKARIOS puts the Commonwealth on trial .,ARCHISISHOP MAKARIOS pubs the Cumonwealth on bred.,0.1923
2249,five years . During this period Britain will be expected,Live years . Nuring Lhes period © heals ust be expected,0.25
2250,It is equally certain that the British Government,I} iS equal corkein Ld Ihe Baksh Kttimtiest,0.4898
2251,the British people . And tell Makarios they are not,Ihe [rihish people . And te? Makarios thee are vol,0.1569
2252,"for the week-end . Ford Motors are to put 13,000","bor Lhe week-end . “doce Mokors are te pul 13,000",0.1875
2253,prepared to accept him on such terms . GOOD cheer,prepared be accept him on Such terme. GOON cheer,0.1224
2254,men back on a five-day week .,Men bacle On a five - dey week ‘,0.2759
2255,"will welcome them . How splendid it would be if , just","wil welboure thew. How splendid it woul be if, just",0.1481
2256,"for once , the Government were to voice the real feelings of",be one | lhe Government were ke VOrce the reaP feeling « of,0.2333
2257,"springtime approaches , orders pick up . And the car men get","spring hime approaches , aeders pick up. doa lhe car mew get",0.1667
2258,ready for another bustling season . The pessimists,ready for another bustting Seasen . The pessimists,0.06
2259,proved right . EARL RUSSELL and his friends have,proved right . EARL RUSSELL amd is friends have,0.0417
2260,hit on an original way of spending this afternoon .,ut on au origina war of Spending this aHemeon .,0.2157
2261,One more demonstration of the industry's recovery . As,Ce more dessousieabten et Lhe indeeshrey 5 recovery . As,0.3519
2262,said the motor industry was on its knees . The optimists,Sri 1 anlar indueshry Was On te knees . The ophwists,0.3393
2263,"said "" Nonsense . "" As usual , the optimists have been",Said . ea As war | Lhe ophnrsks _— been,0.5185
2264,They intend to sit outside the Ministry of Defence . It is,They inkond a sik suleiee Lhe Minishry of Nefence : (L is,0.2586
2265,their protest against the H-bomb . They ought to have a,their probes against lhe bomb . They ought lo have a,0.1091
2266,Whitehall should be deserted . And they will have a fine view,hikelal shov lel be desorbed . And Hey will have a fine vi ew,0.2131
2267,"of St. James's Park , with its placid lake , pelicans ,","of St. James s Pack , with its placed lahre , pelicans ,",0.0909
2268,"pleasant time . The weather forecast is good ; except for them ,","pleasant Lime . The weather Drees is good ; ee pt foc How ,",0.2188
2269,"rare ducks , and other wild life .",are do « : aud | toikel UTe :,0.5882
2270,in an extra two or three evenings . And they never,Ine OK si Sass ot ica ee hu is ai,0.76
2271,Head for the parks to enjoy the sun . Not in,"hed r qe peck 4, ack 4. Sou , het .",0.6136
2272,"a foolish cause , but in a glorious one . Good health !",: jc ck bet te a ores ce. Cea loll,0.6545
2273,go on strike .,v On te ke e,0.5
2274,"THIS group of men , says a report , work on average",BP ea ong + ph kee,0.7843
2275,Why not follow Lord Russell's lead today ?,~ nat | jw led Losell's ed tea?,0.5
2276,between 55 and 60 hours a week . They also put,i ticles. s od a re Tay a r,0.6957
2277,employers . THE Labour Party says that the Tory,pays ae below Tay of tu fe ae,0.6809
2278,Who are they ? The trade union officials of Britain .,whe sir they? Te hale —_ efit ; Behe.,0.5849
2279,labour market . The unions are fortunate indeed to,bums wetkel. Th VUWoas ofe fborede Sea L,0.6
2280,Men who earn only a fraction of what their,Tea whe mam oly a fechon Jf ahh the,0.4048
2281,time the members decided to pay up and be good,"oe the can si t, ms 4 oe he ag",0.6522
2282,Government is destroying the social services .,elias’ as tastieuiss ML Sects Cetrgteh,0.7174
2283,talents and responsibilities could bring in the open,ak on wpe tlh call bis de Wl. .,0.7115
2284,find dedicated leaders at cut-rate prices . But it is,ss en leeds ot ais ol ‘a Bb bss,0.6981
2285,"whose husband made her clean his uniform , wins",= iad nade Ler dees leg Uae noe Wu,0.6809
2286,national income was spent on social services . The,wchione| ACen Wg pot - cetch cuutes “Mh,0.7
2287,as a serf .,Be Os,0.8182
2288,worthwhile targets for the Opposition . What a pity,wea tug } oe ops he What ph,0.6667
2289,present figure is 19.5 per cent. There are many,,1.0
2290,a divorce . The judge says she had to act almost,OW fete “The ey oa na rad te me hina,0.6667
2291,Under the Labour Government 18.1 per cent of the,dees Me Bost Comma a oak + lh.,0.7292
2292,"to aim at the wrong one ! MRS. MARCIA POWER ,","oo a woos ua | IRS. TARcra PoweR,",0.5778
2293,they would never behave like that . But do they ever,ey wold waver ble ke ek at i Hay,0.5577
2294,box of chocolates or a bunch of flowers !,she + eee ore ruck + jo,0.7073
2295,"returned to the shed ; their books tidied ; and often ,","hunad te Ha kd far becks tld | cod ofl,",0.5636
2296,Up and down the country husbands will be saying,"Up ond tows A ceo Mabel wil hy re,",0.5957
2297,even their shoes cleaned ? How wonderful if they,ig ot slant al Wai vod Ll ty,0.6875
2298,showed their appreciation this morning with a surprise,om “at <ppiciele ks wong wis me,0.6667
2299,ponder how their gardening tools are mysteriously,pn aga {levy opléenns feds ale waplevealy,0.6327
2300,Secretary . Suddenly everything changed . Timetables were,SEUCTArw Sud em ery I Dion® hamged .Iweasles wae,0.5439
2301,Federal Government were getting valuable experience in,- SOR Neer We Gomime yvalrable expewemte im,0.5741
2302,administration . Then Mr. Iain Macleod became Colonial,OAwmnnStotion. Them Mr Torim Madlead became Coloma,0.3704
2303,scrapped . The ill-conceived Monckton Commission was,TAQ DRA - The ih ~ conceiveaA MomckTom Comm gdom WAG,0.5
2304,politicians were inflated into international figures .,"POLTicea mS Were imALarted WhO Mae maKqrakl igure,",0.5926
2305,in Rhodesia ! Eighteen months ago this territory,m Rhodera | Cighkeem months Gao Ais Toutou,0.3958
2306,HOW the Government must repent its haste and folly,HOW the HovdrmmemT Wask JLLPEMK te haste. AmaA Lola,0.5
2307,"was peaceful , orderly , and thriving . Africans within the","WAS Peaceynl, Ak, anh Miwing . Micams wWihinm The",0.4746
2308,"rushed out to Rhodesia . Overnight , minor African",Wushed our Xo Rhodera  Oeumc gh wrmor Alam,0.42
2309,No wonder there is doubt and fearful heart-searching .,No womder Tthae is Aaabt amal far§ul Aeoet-sdading.,0.3704
2310,"TODAY , in London , that rash and thoughtless policy has","TODAY | im Lomglon , Ahat wash amol thoughtless poka has",0.25
2311,difficulties from African politicians greedy for power .,Ai rou Kies Sonn A Ycom polAcaams Q2E ey jor Pod: .,0.5536
2312,"of change , so the Africans stepped up their demands .","of Change ,so xXhe A¥ccams Bepecd Alp than demanAs.",0.3519
2313,caused a crisis - a crisis that never should have happened .,COWS A Custis - A Custis That meve. Shou hare ha ppemed.,0.4333
2314,Africans control in Northern Rhodesia it may indeed face,Piurcoms Comtro@ inn Notthéim Rhodeta it may imdeeot Sore,0.3929
2315,If the Government now reverses its plan to give the,TY The Gorérmmemk mow Kevases iS Yam To yw The,0.451
2316,And as the British Government stepped up the pace,Amo as Ahe Brwrigh Government KCepad ue Ahe pace,0.2449
2317,fastest ? That is the exciting competition going on,Ko. Wek 9 Thar (8 the exalima Compadition going om,0.3922
2318,Macmillan and his ministers there is no choice . They,Mocnmitlan Amo Acs priors Bere is mo choice They,0.3585
2319,But if it fails to modify that plan Rhodesia may well,Rut if it Jouks to modify Tax plam Nhokena mmay weble,0.3019
2320,among Britain's major industries .,Q(mo mQ BuTaim 's WMATOL imduslares .,0.5882
2321,repair the damage they have done . WHO can grow the,"xeporr Me damage The, hae dome. WHO Gm erow the",0.2745
2322,"be plunged into chaos , like the Congo . For Mr.",he PUrmeeah AIMA0 chaos ; Like The Comoe . Fou Me.,0.4375
2323,must safeguard Rhodesia against chaos . And try to,"AWUST SASE QUAL Kho dere, QA IME dhack. Amol Ty To",0.72
2324,factory building this year is likely to be 40 per cent,"hoctou bucloime This year is biel, To be GO p& cemt",0.3333
2325,their faith with cash .,Weir South with cash,0.3043
2326,"Top of the table , at the moment , is the chemical industry .",‘lop of The Table at Ahe moment is the Cremicak Imagery,0.3279
2327,up on 1960 . Britain's business men are right to back,up om Afeo . Wulaim's buamess mem are sugar To boux,0.4151
2328,tremendous upsurge in investment . It reports that new,TRomemololus Lp Surge in snremrment. Sl xepors that mew,0.3704
2329,Even the staid and timid Treasury is cheered by the,Bem the Sail ama tid Treasuyis cheered by the,0.2353
2330,"Then comes engineering , followed by iron and steel .",Them  COnmes CEMYMEMAMA YolLo weal Ly hom Amd Feel.,0.6038
2331,the 88-year-old standard bearer of the Ban-,ibe BB tea da Sladard beasts 4 He Bau -,0.5349
2332,"prosperity tomorrow . BERTRAND RUSSELL ,",,1.0
2333,issues of our time .,Le -\ hy _,0.8
2334,"the-Bomb crusade , has devoted following .",He - Bik crugads » hee duoled fpo&ccvns,0.5714
2335,too . It is said by some that he is a saint ; by,fo. Lhe sath tx gone Abel de oa rt; be,0.5833
2336,"others that he is a prophet . He is , in fact , a","flare [Pot be ts a repbel, He eth fact a",0.5102
2337,For expansion today means still greater,Foy £m Beda OA te da beau ott greater,0.5385
2338,philosopher with a highly developed sense of publicity,gage sate « billy eel ane sense gal,0.6296
2339,who has been spectacularly wrong on the great,bre er tote Apeclody ume on He great,0.5556
2340,Thousands march with him - and sit with him,"sick ce, cis wh baci wn el ee vant bs",0.814
2341,that freedom last if their policies were adopted ?,nek om Aals tT ize pltcrs ere Rdeghe A?,0.58
2342,to welcome Hitler's troops as tourists .,,1.0
2343,After the war he favoured a preventive war against,ME He uty be famed prenaie ute agen,0.56
2344,defences . Throughout the years Lord Russell,Rpm Vergo the yeort Lord Russell,0.4318
2345,and his supporters have been able to pursue their,md Ls Sey ypotecs Lae locer ale M Jour sex Huy,0.6122
2346,Russia . Now he wants Britain to demolish her,"Raabe ae he wale Biter. & Aircon, ba,",0.6444
2347,ask themselves this question : How long would,rik Meiclya Ms pies | be peur Laws tual,0.7333
2348,eccentric campaigns in freedom . They should,Loca ic celia canal dies dw freA . They shel,0.5909
2349,BEFORE the war he urged the British people,BEFORE Lb var fe vega He Novcbih perl,0.4762
2350,has been appointed to smooth out difficulties for,ben been aypentess be smooth ent Affective f.,0.4286
2351,"Happy patrolling , Mr. Finlay !",Keg gelling [le Helos -,0.6774
2352,householders when trenches are dug outside their,hare losers wale reorccdlus ae des ntetche Hae,0.625
2353,"mile route in Surrey . A warden , Mr. Jack Finlay ,","aie pede he Sarts A rac den | Fl. erh fle,",0.5882
2354,front gates . Splendid . By showing concern,"fro soho . S ple, Bey thectg Gatien,",0.6047
2355,AN experiment in courtesy is launched by the Electricity,AN Capon wert Me ae Met ts Kowichel be) edad,0.6607
2356,Board . The board is laying a cable along a seven-,tek - TT be hetoal vs agity oO Cole oben @ Ko,0.7
2357,for the people the board will earn their good will .,"fer he beetle Ane bord wall cam He geod ell,",0.4038
2358,resolute Premier of the Rhodesian Federation,Wein He Rendeclarn hreaa saline,0.7273
2359,shakes the life out of his critics . He calls them,thokes He Uk wt of Be exiher. He ble Hun,0.56
2360,Welensky justified in being so harsh to those who,Weoley just fred he ia a pwede te Maee = i,0.551
2361,against African fanatics and woolly minded,Kop wt frre fenekics aid weal vadiedad,0.5476
2362,disagree with him ? The facts answer that .,,1.0
2363,"GOOD for Sir Roy Welensky ! The tough ,","GOOD for Sie Reg Welurs kn ITM teyl,",0.4103
2364,individuals in the West . Some may ask : Is,Lie kk ea Ge waa ask : Ls,0.6279
2365,""" jelly-boned . "" He promises to preserve federation","tly fon"" He promgs se priser Adherabia,",0.5
2366,months . And what has it made of the Congo ?,ee. drol slick | ae “4 tamale. | Ilo Coa e,0.7273
2367,"CONTRAST his firm , successful rule in Rhodesia",CONTRAST! Lis forme cuccess ful rule la Dheclesia,0.2766
2368,Welensky has lost all patience with his,Weber slig = ack all pekcerie uae Lact,0.6667
2369,misguided tormentors .,ee ge se! {orrietort,0.6364
2370,"into practice . There a UNO army of Africans ,","in to prac hes | “Tlne a URO ervey «] Are couse ,",0.4783
2371,A bloodstained shambles . No wonder,A LLood gkeirect Chnmrnahebes . Lo» —,0.7143
2372,"bossed by an Indian , has been in charge for","leoieued oy Ok Guolian. , as Fae Re Lage {>",0.5682
2373,with what has happened in the Congo . There,oo tu Laat lans Leatpperred! 1H tre Cmnge. “T Lere,0.5349
2374,Welensky's opponents have carried their theories,"eleusly 's Opporents \,nve Casrcenk Cox Ridkneins",0.5417
2375,Office Savings Bank shows how wrong that,O Neue Seadinngye RBaulk shavs lw ag eat,0.55
2376,to 19 .,a 12,0.7143
2377,contempt . SOME people are for ever complaining,Comper ker SoHE peepee Are {o> Cve> Coca plaislg,0.5106
2378,when they get it . Now a survey of the Post,ee leg qc +. bed «2 Survey o| lec Post,0.5116
2379,that teenagers earn too much and spend it all,"Pe kemages Com dees hadnale, unas Cpecol it all",0.6889
2380,They have earned his strictures . And his,Peg lave eamed Lads ghric lures . Aud Lis,0.3659
2381,idea is . The biggest group of depositors in,lea im 1 bee waane ry ol depos: vers iN,0.5
2382,the bank is made of boys and girls aged 15,He loaulx iS Uewole | mney oucl gts aged i,0.6667
2383,They say that our farmers do not seem to,a ey es Wat our ‘ae ob ak Seen.,0.55
2384,that in the most prosperous days in this,Lie = Woe Lnost pipers dha ie Kas,0.55
2385,farmers for fighting against Danish competition .,peners (= files agents “Dautsik coupe kehin.,0.5918
2386,people . THE Danes are annoyed with British,ee TRE ‘Daues are tenga SL “Unk l,0.6047
2387,should still have a powerful appeal for young,Cit owl luo «. prser ful cpopeak e 2,0.6667
2388,Certainly teenagers earn more than ever before .,Cerloinky Henrergers Gam wore tian ered be ere,0.3958
2389,Certainly they spend more . But how splendid,"eek, toes Spent tunes Gut lao gphudicl",0.6136
2390,understand the meaning of free trade .,i talaced’ de uscauig of bree treole .,0.5526
2391,country's history the old-fashioned virtue of thrift,Couto Lisley Ms olal- aclaioned Uy ue of Kaw ft,0.5192
2392,now supplanted Britain as Denmark's,und Sppkartd Untein ar “Deuuarl's,0.4857
2393,by free trade . It is that they should be free,“4 \ree Leds. Gis Und Hag alenlel Le free,0.5652
2394,principal supplier . The farmers of Britain,Pt cop fe Supple 1 Le porruers o| “Er tain,0.5116
2395,There is no doubt what the Danes understand,"""He. 3 ice Ghelet wheat tee Dewey Urvolers terol",0.6744
2396,more and more from our rivals . Germany has,,1.0
2397,it .,t4 .,0.5
2398,"to sell as much as they like , while buying","to sel Ok ded. ces Hes ree, dsl le gs",0.6047
2399,understand free trade . That is why they fight,"Un derstaud \ree tree . ""Tact. jy. olay Kote fet",0.5
2400,enterprises . Barry and Eric have enthusiasm . They,An tinpr es . fates ond Foc hae tullucasly. They,0.451
2401,reopened next week by Barry Flanagan and Eric,[10 pat uxt (eek hy oAay Rotag arn and EUC,0.5556
2402,"Platt , both aged 19 . Eric says : "" We believe in the","kot boll age 9. Eric Seg ""(Ne believe Ln. He",0.4259
2403,"cinema . And we know what people want . "" The",tr afian ad twe Asdat ulead. jopes tot. the,0.7111
2404,combination of enthusiasm and shrewd anticipation,CMubiAation of Mathngosns and Shand Oho potion,0.4694
2405,of public taste has launched many great,| pubic taste las Kyumcled peat =,0.4359
2406,"THE Palace cinema at Buckley , near Chester , will be","THE fafow Cmurma ab ck hag, Asan Unestic Wil be",0.5094
2407,are backed by a resurgent film industry .,we broached by ‘ Aueen gent fern desig.,0.5122
2408,most vital industry . It is increasingly dependent,Amott vitok ey tbs bacon diafuerdr,0.68
2409,Cambridge want the study of agriculture to become,aAllnidge oat Yn thudly of ogc fo lacous,0.551
2410,provide men of knowledge and skill .,proviok (arn | peels ald Seetl.,0.5833
2411,the old Palace . And Barry and Eric . DONS at,"Hie of bow . Aad Made ald Eric, Dor{ at",0.4667
2412,It could be curtain up on two success stories . Of,It Could le Cutten. Up Ov two sucess Shes. Of,0.34
2413,an honours degree course . Farming is Britain's,un Levunints dha CoULGe . taping a Mbaua's,0.5957
2414,on new techniques - and on the universities to,Mh fuse fecha uss - ohh ov te Unuawhes +,0.587
2415,similar course in farming for 15 years !,Biker Guorre Ud pet i As fous,0.725
2416,The older universities are often accused of being,The oflr UWnivesities Qu ote Qauya of reins,0.3878
2417,"JOHN GLENN , Virgil Grissom , Alan Shepard . One of","[owed Glee Vigil Grito, Alam She fart Ove >|",0.4902
2418,"living . Particularly as its rival , Oxford , has had a",oe: Fant ularly as its Mivok xu has bel a.,0.5091
2419,first journey into Space .,fst ee Jot Yow,0.6923
2420,the opportunity to show is just as interested in the,bly opp toucly to sholu iS pst OS Wuluested Wu. Ho,0.5192
2421,these three men has a date with destiny - the,veh Ure. tances a doke with pe: Hie,0.5333
