index,ground_truth,ocr_output,cer
1764,"Referring to previous negotiations , Mr. Macmillan looked towards",Refeituy 4 Qreviees Ae '52hahoc 5 E katuuitez  looeeel hubzb),0.6462
1765,Premier said . He dismissed the idea that Britain would be,Yreuws Qazy Ike Oh; uuseY %L Aebu Otue $ Brkiu Weuld be,0.6207
1766,"much shelter , "" he went on .","uuu & Ohells , 4 Lz tutu{ e",0.6207
1767,Minister that I do not think,TunMer AhaA < do no4 Ahunk,0.3929
1768,"federalism in Europe , "" he went","Yederlism Ur Curope , 1 he queha",0.3125
1769,"retorted . "" I agree with the Prime","nAorked . ""7 agree IUUAR IL Drime",0.4286
1770,we are necessarily bound for,IuZ OUre nlceuarily {ound Yor,0.3571
1771,Mr. Gaitskell said he had been,Mrc; . Uailkell said he had Ueer,0.2667
1772,"of considerable authority , "" he",o}conuderabb aulhoriy he,0.375
1773,on .,n?,0.75
1774,Conservatives protested when,ConarvaAuea protealed #hen,0.3214
1775,"told this "" by some # people",dold Ahu Uy noml poe peopl,0.4643
1776,food subsidies would probably be,{ood Seebsecls iulld 0 (oa_blyt Ue,0.5625
1777,season moves into top gear .,S e2&m ncees eo E aees,0.7143
1778,BUDGETTE or no Budgette YOU are,UOGETTE CSY no Budaette Toy ae,0.3226
1779,"replaced by a system of tariffs "" That",relaced Jek C nyAltn ~p tsys (( JhaE,0.5526
1780,all-time peak .,al-tne Meaek,0.4667
1781,"will mean a rise in the cost of living . """,UsyLL nean a cSe xn te cost ~ GSu,0.5476
1782,the spending spree is at a new,He speaduty siuee _S ak a KCQQQ ),0.6
1783,"If we joined the Common Market , our",} `e descned the Coxnwcm dhasleel Ocr,0.5833
1784,spending more as the summer holiday,Sqendu14 nlCN € aS t Slnlnac Vcldcyy,0.7429
1785,On the eve of August Bank Holiday,On (he eise cuqust Rcrke dlclidcg,0.5152
1786,Now look at the other side of all,Now loob av Vhe Othq w Sidle olal,0.3636
1787,sixth successive week - this,gix+h Su@c ess)Ve Week = Ylds,0.4286
1788,Note circulation soared for the,No Je circulahow Soa Aeol 1or #lo,0.4516
1789,these coins .,hese CoiS,0.4615
1790,"100,000,000 more than the corresponding","A100 , Co ,000 ho ke Vhah Vhe Cor respoudihe",0.4359
1791,"time by more than 15,000,000 # last","Fime 57 hoie Yhah 15,C06,000 4 lasy",0.3143
1792,week . And that brought the figure,Week Anol Yha brou8hy Vuq Viau e,0.4412
1793,"week last year and 37,000,000 up on","Weel lasv yea) Qnol 37,00o,oo0 up 011",0.3714
1794,the 1960 record set last Christmas .,Yhe i960 (cora Sev lasv Clmslma s,0.3889
1795,"to a record 2,415,000,000 . This was","40 a Rcord 2, 445, Oco OO Thh/ 2 waS",0.5556
1796,form of special deposits with the Bank of England .,hwe~ 0+ {r_A( &po-4 ale Leu Gaxk 24 Lics,0.7647
1797,stricter in recalling existing overdrafts . This is underlined in,shidle {4 ulal-s exirhi-$ ove~de (L tw:[ {s Uells {5,0.6308
1798,difficult to arrange a loan or overdraft . And banks will be,elhalt 4 ablus& & Lqy O Dve~de(6 A A Saly 6Al Le,0.65
1799,the Central Bank's weekly return ... ... which shows that more,kz Cenka( Gaal'' keelly Lk~ ~lc chnevs Hat 44u,0.629
1800,"The big "" squeeze "" means that it is going to be more",Il 8 Jiv & +e L &~J 4A( i4 {s di-t F Q2 L~U,0.6981
1801,"than 163,000,000 of the banks' money is now frozen in the",Mlc~ (6] 073 (77 ok ilu Lcule Lu~7 LyJ hux  i~ A,0.7719
1802,"instalment of almost 8,000,000","ustaluewl 00 allo sY 8, @OO, OO0",0.5667
1803,"this year . """,Luu 2 Yia,0.8462
1804,MR. KRUSCHEV raises the bogy of,c 0 nesclev ra 'se00 Xle boly,0.6774
1805,in response to the Budgette appeal .,Iu reshouse Yo +Le Dudpex (e Gcpeal_,0.4444
1806,by September 20 . For nearly a year,by Sepieubes Zo. Fo c nlorl a,0.4571
1807,"About another 70,000,000 is due",Abowd Otn OxhQs OO0 O00 18 dlie,0.6452
1808,"about 150,000,000 has been frozen .","aboud 150,080,000 las /oeez frozez",0.2571
1809,Banks have paid in a first,Bauks hotse   Daiol L 9 #irs,0.5385
1810,German militarism in his replies to,besuan li' /  Jac8un (01 h ? nepl es Yo,0.6286
1811,the West on Berlin . And he repeats,the Wes4 Ou_Rerli - Auol he iepeays,0.3429
1812,"that the problem "" must be solved",hal The piblen M husv b2 Solveol,0.3939
1813,forces and arms to touch off a world war .,hec OA alu~f L hL o8 A LAlcl LL,0.7619
1814,"treaty with Germany causes no real danger . West Germany ,","Mal7 ~le, QuA-7 C6li Llo Lee ( cnte ^ Lx,6 Gi-~7",0.7759
1815,West Germany were published in Moscow yesterday . They,We k huy Le nLL^ i7 lxnicu~ YesU sle7 70e4,0.7222
1816,"hotbed of war danger in Europe . Even now , aided by",LolLe . en * ( Gs( Evy Luli ac J Lt,0.7308
1817,"with its militarists and revenge-seekers , is becoming a",Lk it ~Uk-l aL  level f- Aeakeyj {c Lc ~~$ 81,0.7143
1818,"the U.S. , Britain and France , it has more than enough",k & Uf . RiLA^ czel Faze 80 Uet Lui_ +zu^ 25784,0.7455
1819,The Notes to the Big Three and a memorandum to,"Tle Nole, L 4u KA Tlues aLA a Lell~ULasLll ko",0.587
1820,tell : The U.S. - It is false to say the absence of a peace,kll Tle U.J . # iS Atu t ce | k allenke of A Mu,0.5424
1821,put at the disposal of those very militarists who razed,he af M clunolal Dt Moua ve1 LGe- ~u^ 5+4,0.7091
1822,cities . FRANCE - One can hardly conceive the French are,C5< Fr#nce _ Oie LaA la- 47 @nave 1 Rexa a€,0.6607
1823,generals and officers .,fexealy C~e olc J,0.6087
1824,"not alarmed ... . Next door , in West Germany , before everyone's","4ol al - Uexf Aco 1 (1 UJe,l Gue_ Le hue rve y 06i",0.6615
1825,eyes there has sprung up a regular army led by former Nazi,2y2 +uee L f0_ ~ ~p 0 eall 0l7 Lsl Yy h~z Nax ',0.6724
1826,BRITAIN - One cannot but wonder at British bases being,Sr (T An Oi casaoe L ( dulde 4+ Kuuil Lt? Yi-f,0.7037
1827,Coventry and barbarously bombed London and other British,"Coveh7 ayi LalGaur,(7 Sculej Cncl;e^ a~A A K-4",0.7321
1828,contingency would be to sign a peace treaty to remove the cancerous,cdhtty ~td Lu rk 4 heaa F47 Qu len~Ave ket CuQUI,0.7313
1829,determination and tramples on Tunisians' right to independence .,clle ~Ro a~A hxrl O T-isies -44f 6 ielMn dnc,0.6719
1830,realization that West Germany would not survive even a few hours,Lee Lrton Mat Wes( Gu-t~7 coLl ~k Puevive ele ^ 0 ten Luvv],0.5469
1831,With fire and sword France denies Algeria the right to self-,Wuil Ku aucl Jev-d h& decc Aa 4ete Lull L Jlf ~,0.7167
1832,growth of West Berlin's occupation status .,I~~ak o4 Ueat decliz j Ocev(Ahon slu,0.6279
1833,of a third world war . The best way to rule out such a tragic,of 4 Aa enld Ll T4 LeL Lay + wl aA F~ce Lx4,0.6393
1834,WEST GERMANY - Russia would like to see a clear #,lkft Gepuuan % pfi :e csud Ulce F Le 6 clere,0.6327
1835,DURING MONDAY NIGHT . And officials,huring MOnDAY Niattl_ Anc ~ucLk,0.6286
1836,West Germany . REFUGEES are pouring out,Wst Grneny reFuGezs are pecezng eet,0.4615
1837,"3,000 a day .","5 , OCo G dey",0.7692
1838,expect the total to leap to,kxpee Mhe Ztz/ Z Jezp 6,0.5185
1839,Berlin faster than ever . Mr. K's latest,beli tastz tijan eL Ulr  X's etst,0.475
1840,# of East Germany into West,7hl< c East Gesmany Ertz Lkst,0.4444
1841,determination is the intention to impose,dile meclron J Ahe &nleETor 16 26v42o12,0.65
1842,Behind Bonn's slogan of German self-,(sehnd Aspn's slfhn 2 Qrmcn ~Lf_,0.5
1843,on East Germany the regime existing in,Un Easb Cermacy tte negine exuscng,0.3421
1844,"speech scared 1,157 East Germans to",Spech scrd 4.1 53 East qumar 5 t,0.4286
1845,cross into West Berlin's reception centre,"Cf Czs} Ato lnl 1elLun"" 6 rcetizn Cenlr",0.6098
1846,"East German disturbances on July 17 , 1953 . And officials","Lojf Gav- dih-Lcn 07 A I , (1483 Al 0 lha-t",0.7069
1847,fear it may be too much for the city's refugee camps .,kav {# ia1 Lc ho L~L 1 he Alx' ekxe cleh T,0.6296
1848,This figure has been surpassed only on the eve of the,Tls Fne Cu' Geeca svrpatka 0w(7 0 kx Lye 6f ke,0.6038
1849,They will overflow and private houses will have to be used .,ntey 6Ai ovelua Ox _ ( 0xefe lau ~(( Uav< k La Ll-(,0.6833
1850,Commonwealth ? The issue is touch and go .,"Comman wealH 7 The iske (S rovcl anck q ,",0.4048
1851,Prime Minister after Prime Minister speaks out,Pnn nimsler 6er Trme Himskr sp eak $ ow,0.5
1852,Conference in London . Will it end with,"Conpence Ih Londlan MVl ""L encl hh",0.4872
1853,South Africa's exclusion from the,"South Ae"" $ exclsion trom He",0.3333
1854,in revulsion against the South African,In +evubsian  aans / kke Sow/h Ahean,0.4474
1855,for the curtain to rise on the Commonwealth,Lke Cir An L rse On Hz Cmmonweabhh,0.4884
1856,Government's policy of apartheid as we wait,Governme % ebey marLheid a 5 WV € Wa/,0.5581
1857,not clear-cut .,hol C lear cha,0.6
1858,Republic later in the year . But if a final,Repwble liter (h Lke Y ear . Bi/ 1/ a hnal,0.3721
1859,do the strongest arguments lie ? THE Archbishop,ko hke sFronses[ arguwnenks he 2 The Irkbis k%,0.4255
1860,of Capetown has shown that the matter is,o/ Canelown has shown hal He malhr,0.325
1861,wait until South Africa actually becomes a,Vavl mhl Sowkh Are achaly betme< O,0.4762
1862,"decision is to be faced now , on which side","Aeurion '5 Fo be faced new , On whch Siol",0.3023
1863,settled at this conference . It may be agreed to,"Sehhked a Hks conlerence , [} may be aoteecl k",0.375
1864,There is a possibility that it will not be,T here ($ ( a possibilLy Ho/ (4 wi b hck ke,0.4524
1865,working for a change of policy . In his view,wor_ kwh Yar a chan% c bebcy. In his Wtew,0.4091
1866,Africans .,"Kncan $,",0.7
1867,it would also be against the interests of the,'7 Wol lcl a/so be aqains[ Lhe iM < 5 K Hkz,0.5333
1868,with attention . On purely practical grounds he,w(h ahlenhan On I ureby bracktal Grounds he,0.3617
1869,holds that it would be a mistake to expel,hcbds tha/ 1 woubd be OL h {hale Fo ekk e4,0.439
1870,fighter against apartheid . He must be heard,"liahLn aqaws/ aparkhed , He mus [ be hearel",0.3636
1871,"South Africa , weakening the whites who are",Soulh Arca wea temnl hke whi'kc who are,0.3488
1872,The Archbishop has long been a courageous,Tke Archbishev has Wn been CU Couraseou,0.2683
1873,the apartheid policy .,Yhll aparthid pOGcy .,0.3182
1874,Africa while she remains in the Commonwealth,Anca Ulule Ahe temcn 1 Yhe Commonieall,0.3864
1875,Verwoerd and the Nationalists . They point out,Yer woero Uo theNahonalisk _ 7hly poind Out,0.3478
1876,"On the other hand , those who favour expulsion , inclu-","On X Oth hovnd 1 Mo Who Aaowrr exphusion , incb",0.4182
1877,than could be exercised were she cut off from it .,"tG Covlld k EXLFCISEO   whute  Ohe Ct o8' Krom U ,.",0.64
1878,that Dr. Verwoerd refuses to consider abandoning,Ynok Dr Verwoerol Nfieo do Onsiblr   auotoing,0.4792
1879,"ding African leaders , feel that nothing less than the",(na Arcan Lader dul trat noloin( Lip Ynan Yhc,0.463
1880,shock of expulsion will weaken the grip of Dr.,ahbok 04   expupion will   vakin Yw Gnp % D,0.5
1881,He holds that more pressure can be put on South,Hz holds Yhad mO1e preolrc Qun {e [DuL Om Sulh,0.4043
1882,a Commonwealth which had room for a racist,A Ctmmion weolth Wlch Kul KOorp At 0 rCcA,0.5476
1883,Whatever statesmen say at the conference table in,Whoktr  clakomn K8y af Vh condtettnce Iabte m,0.5102
1884,who is white .,Who VJ wlke .,0.4286
1885,policy of racial discrimination in any of its countries,OTicy Of vocial   Olenminahon m Gnvy % w CQuhi,0.5455
1886,which five citizens are coloured for every one,wlth Aiuc Citzens Oc COCoto  Atr Wery One,0.5
1887,THE Commonwealth is a multi-racial society . A,TE Ctonluralkh 6 0 mlh' -raciol scicty,0.4783
1888,South Africa . And this is a Commonwealth in,Soh   Afnca And Ym) 6 4 CmmnonweaeKh,0.4773
1889,"London , millions at home would regard as fraudulent",Aonckn wwilicw Ok hor wod  tcqGd W) Arauomtvnk,0.5577
1890,is surely the one thing that it could not survive .,V awrtly Khu One Ylwng to I Qd no} Owive,0.5294
1891,apartheid is a menace to the Commonwealth and a,Oporkhuid M 0 mao to th Crmomballh Gnd O,0.4255
1892,liability to the whole Western world . A practical,YioliUly to K Whote Weokrn Wott - A proch ca4,0.46
1893,a set of principles excluding race discrimination .,0 (8}   o prinoipla   2xOtdarg rOce  Qonrnahon,0.5686
1894,solution would be for the Commonwealth to draft,Notihon   woutd Ate Fo th (mronweallh {o Orat,0.4043
1895,"Seen in this wider picture , a South Africa that clings to","Seen i Kp   Wdr   Qichic ,   ukh Aag   Ynak Otinga",0.569
1896,or go out .,Or Q0 OUt.,0.5455
1897,"And so leave South Africa to make the grade ,",Ara P0 leade Sulh Ayca 40 mlke  th Orouc 1,0.4444
1898,have taken the headlines in this country .,huve taben te headlines i tus couhy ,0.2619
1899,"Nevertheless , the tour has been an immense",everhelyr Hke tow ha Aeen an inmeme,0.3721
1900,would be pleasanter if such cruel and feudal,tuld Ke pleapankt 4 ouch Cruel and Jeudal,0.2727
1901,tonight from their tour in the East . The duke's,torughl fromn Iheit tout in the Eos . Jhe dubes,0.25
1902,THE Queen and the Duke of Edinburgh come home,THE Queen and He Duke o4 Edlnbugh Come hore,0.1556
1903,dropped from future Royal programmes .,olropped From Jukre Yoyal  progtammen,0.3158
1904,performances as tiger and rhino hunts were,pefrmances C tiqu and Muino hunh wen,0.3095
1905,trigger-finger and the ritual slaughter of beasts,Erigay Finge and the rikuck olaughk c beaob,0.3878
1906,success . The Queen has won a triumph . It,DUCCmI Jke Queen ha Auon CL huumph,0.5714
1907,yesterday by the Dutch - has made the gesture,yeskerday by Hke   Dkch hao madle Hhe gestd,0.3333
1908,Pakistan are happy memories . WEST GERMANY - followed,Paustan G2 hoppy memotiea WsT JERIANY _ Je(loweol,0.3774
1909,of a good neighbour . She has put up the value,a gooz neigh bocu:  Jke has pul 24 /fe value,0.3261
1910,of her money .,% he money,0.3571
1911,their visit . The warmth of their welcome in India and,theur visu . The bbtmth c Ikiur uetcore UT Jndia  andl,0.3704
1912,But the Queen and the Duke have pleased millions by,But {h kueen andl lhe Duke hae Pleantd millions Ky,0.1961
1913,"their balances , will gain some immediate help .","Iheu Aalancea , will Gain Oome ermnediake Jelp.",0.2708
1914,Germany exports will be made a little dearer .,Gerrary expor / tuill {e made O Ade dlearec,0.3696
1915,What it means in practical terms is that our,Ald U meal i prackical tem) U Ict OUU,0.4545
1916,"for Germans to buy , while the goods which",Iot Getmarvs Jo Kry! while Ihe goozla thuch,0.381
1917,in the direction of live-and-let-live . Hopes,U Khe dluechon % Iire- ano Xel - Live. HopeAA,0.4889
1918,"Certainly , the rise is very small . But it is a step",Veauly 1 Hhe [Ulc 4 rery omLll . Bul i i a olp,0.4151
1919,"co-operation , which is the only way to solve the","Co operakox , khich io Heonly ""ay ko jolve Hhe",0.2857
1920,exports to Germany will now be a little cheaper,expor k k Jetrnaty ^ill AOto |e a Iiklke cheapes,0.4043
1921,"Britain and the U.S. , which have problems with",Bitain ond Hhe Us whch hove problems bith,0.234
1922,payments difficulties that upset the Western world .,peyymenk ddf culie tnat upset fke Ueokern Bofld .,0.3269
1923,will now grow brighter of further international,Avill nUW Srow Mtighkt %  Jutlhes ukernatiomal,0.4255
1924,dollars have been drained into Germany .,dollors lve beln dcamd Io Germony,0.35
1925,as a means to curb rising prices at home . She is,OS 0 means to curb risid paces of home She,0.2857
1926,also aware how # unpopular she has been growing,A(So GlGre how Fz Unpopula ( she Inas been Jcolma,0.4043
1927,should . Germany exports much more than she imports .,sliuld . German] Lx por/< muu Kvare_ than she Imports.,0.283
1928,by failing until now to co-operate as a creditor nation,b7 Yailind Urtil now XO Co-eperake 6S 4 creclitog nation,0.2909
1929,Booming Germany is deliberately encouraging more imports,iSoonina Gefmony IS delibera stely enccurajis more Imfoc-I,0.3393
1930,For upwards of five years the world's reserves of,For  Vpwards 0l five years #he Wor (d < cesenues  %,0.3061
1931,Germany's massive trading surplus and choke,"bermy ""s Wassive Sradin Surplus Ond choke",0.2326
1932,the strength of Germany's trading position has attracted,[lhe skensth of  Germonys Kadino posifian Is clracked,0.3393
1933,off speculation against dollar and pound ?,olf Spec lotion Gainst dollar qrck pound 2,0.2619
1934,Germany has no tradition of trading abroad . In addition,Germany bs no #radition 0( Tedinn Gbroac Lo Gdlition,0.3036
1935,"hoping for the mark to rise , as has now happened .",hoping for the mack to (se ) aS has now hafpereck ,0.1961
1936,There they have stayed uselessly locked up because,There Yhy hnav & stayed USe lessly locledk uP becalse,0.24
1937,"speculators to hold marks rather than pounds or dollars ,","Specha Iators do bold warks   (ather than powrd c Or ckolloc$,",0.386
1938,WILL the new valuation be enough to correct,Wll Ihe new Valuation be en0u6h to Corcect,0.2093
1939,"share in giving aid to underdeveloped nations , the",Share Ih Jivng Qid Io Under dlvel - %pecl nationS) tke,0.3922
1940,to optimism is the sign that Germany and the,to optimiSh is the sijn Hnat Gerwan1 Cnc te,0.2273
1941,world outlook will be brighter . What gives rise,Wbrld Out lockc (ill be bnahler What Jines nse,0.3542
1942,"good-neighbour gesture , Germany takes a really big","{ood - neigh bour gestuic , Geriy tokes 0 iea Uly ble",0.3137
1943,other leading Western nations are at long last,Olher Iqadno lestefn nahons Gre at Tord lasl,0.3261
1944,moving towards a solution of currency problems,Movin tolards A Solution cf currecy problmns,0.1957
1945,by co-operation .,0' Cc operotion,0.4706
1946,"That is doubtful . If however , in addition to her new","That (S doubtGl _ IC hoWevex , 1 in addihion to her nev",0.2222
1947,idea that moral regeneration would solve,idea Hhat mo-Ml AEGUelahch  Walld volic,0.475
1948,and our local and national Parliaments .,lnd O local Ouud WahoMal Paligwnb,0.475
1949,for by that curious body Moral Re-Armament .,tuttx thak   cuioud   body Manl Re-Anmaveut.,0.4545
1950,"of politics , perhaps , or carried away by the","ot poehc pehapl , O^ Camied awoy by Hz",0.413
1951,all our problems . So it would . While we are,lUl Ok( problehs . Vo iA Woul Vlte We Qe,0.4222
1952,Those who lend their names to this kind of,Thosc Who tend Hein VAMUI to tuit   kund ot,0.4048
1953,"waiting for the millenium , however , most of us",Walug tv Yu lllleuu Ibew Moft  % u,0.6458
1954,would prefer to put our hopes for earthly justice in,Iauld ppket F puk OU Ipet Fw arthly quhte W,0.4808
1955,"instruments of democracy , such as trade unions",Wlwuuuub Ot   debociacy Judh avtlde Uublf,0.5957
1956,"advertisement are worthy people , a little innocent","Odhetifeleut 0e Wotllu pople , 1 Q Lill icut",0.4902
1957,"A CURIOUS advertisement on page nine , paid",A Curiouc adietielwt Ot pag2 MU | pad],0.5116
1958,"advertisement falls into neither category , though",aduetiemut tallo   ih hettues Cakgay Ithough,0.44
1959,"deeply repugnant to our readers , it is right to",duply lpuguaut to 0 padly ik i kiqh} F,0.4792
1960,exercise editorial discretion . The MRA,Qxuci(e edaal diakehe 6 Tlu MRA,0.4872
1961,contains statements whose factual truth is,CotFtlu  wtatemeuh Ihote   fachual tiul,0.5238
1962,which we disagree . When an advertisement,Wtuichu wi   (tagtll Wlueu U adiithifument,0.6098
1963,Should the Herald publish such advertisements ?,Should Tlu tesald publrh Vucbi aduerhirewul,0.4255
1964,"doubtful , or where the total content would be",VoulffulgL H Wlurt the Itl Coutut Woud be,0.4348
1965,many readers will dislike it .,V  Madey WRC diclthe #,0.6333
1966,be wrong to refuse all political advertisements with,b Wtong t vful UL polthcal  Qditietmeuk -th,0.4808
1967,This is a difficult question . It would obviously,Tli V 0 dXcult quehior. k Would Owviouly,0.3878
1968,Government was to denounce the United,Go V_U4lRL 4 W a $ fo deuouucr 44< Ouiled,0.6486
1969,"more logical to send in more men ,",MOr 2 (og'cal fo seud 14 Wor & m&L,0.5
1970,would be taken home . The reaction can be,woul a L2 fak&u Lo L^ & Tls Cea ciol Cau 6 2,0.561
1971,to say that its 400 troops in the Congo,fo saj +la/ 'ts 4oo 1co0 F $ 11 #6 & CouJe,0.6154
1972,a # dignified exit . IF the UN is,1 dghi Aed ex;1 (F 462 UN 1S,0.5152
1973,not weaken it further by desertion .,"no | Wea kel furtlar bx des &r+ol,",0.5
1974,The first reaction of the Sudanese,Tlr f;cs + cacf;ou 44z Soda u & € <,0.7353
1975,"blamed for being weak , it would be",Llaued for Le;s weak would 62l,0.4
1976,"Nations for "" negligence and impotence , "" and",NaGols fo r 0 neg(g eu c e auu '0po femcr abd,0.5217
1977,understood . The Sudan's concern for its,"u de sfood_ Thr Sudau' < Col crCh foc ""4s",0.45
1978,men is natural . But this could hardly be,M rL1 iS hafural Rut +L; s coula La &l4 6a,0.5366
1979,Mr. Hammarskjold to use force if necessary to,Mc. Aawars kj o(d 4o 0S 2 f orcr ;0 uecrssar y 0,0.4667
1980,responsibility rightly belongs to the nations,C2s Polsib' (fy ciglt A4 belowis +0 Fle naFous,0.5111
1981,which have undertaken the task of pre-,w (;c( Lav & Uwd& 4ake +Lx task 0 0rz,0.5526
1982,serving peace in the Congo . That is not a,Sr vilg Peace IL tLe Cow9o - Tla ( `s M0 F a,0.4524
1983,"ceremonial duty , and the soldiers have every",cereluouial du (+ ' au & flr so(d' &rs uave ev€+,0.4667
1984,It is unjust to pass the buck to Mr.,I+ is owjost (o Qass +Le buck to Ar.,0.25
1985,"prevent civil war , it was clear that new dangers","Acrvrl ( civ ( waC , 4 Wa$ cleac 4lat M @W da u9 r$",0.5306
1986,Hammarskjold and the UN's servants . The,Halu ac s kj o( & aud 4Lr ON ( s s & vaut s _ Tl r,0.675
1987,would arise unless it gave him the political ...,W ou ( d ac' < r Ou (ess i( 9a v L' fL Qol Ecal,0.6667
1988,right to blame the politicians unless they see,~9l4 Lo b(auu & Y& PoGe;c_ al $ oules $ Tley 822,0.6957
1989,it through . When the United Nations instructed,'4 flrovgL _ Wleu (Le Ou; ( &x Nalous {ustructec,0.5319
1990,made . India has responded handsomely by providing,woele (ucha Log tephalo_dl bacl ~u] krt putdiss,0.76
1991,"If the UN forces were thick enough on the ground ,","HF +e UN Ievce o we e tQak euopL O1 Ule celnel ,",0.54
1992,which have set their hands to this plough .,Jubud laue 22+ Hecr lano 6 kug plfU,0.6512
1993,"3,000 men , who must take about a fortnight to arrive .","<, OO ue 1 xbo wuust (obe alout @rtucet + ae",0.5636
1994,That was the first point that Mr. Hammarskjold,"Tlod M9e , Ale #n+ AF #atUUlr: Hauunaoskejolcl",0.7174
1995,happen . THE UN's ability to keep peace depends,luyheu The UN'$ 6l-- &ly t kexp Qace dyDpexclp,0.5745
1996,simply on adequate support by the nations,oiplJ S1 ado secke Dufper Y Ry He u hel a),0.6585
1997,such incidents as that at Matadi would not,Dud iuci dquh 0) #ot at Hated sdid us4,0.5714
1998,The big Powers involved in the Cold War,"Tle 45 pawen Tl doQuecl i4 Fe CaQc KOo f""",0.7179
1999,It is to be hoped that the UN will be,I+ is fo be lezecl #uat kx UN eQ( 82,0.4865
2000,re-established in their port by negotiation,€ ootcl-Usluc i Hess Pov k 8ek Wg o HaH,0.7674
2001,must of course keep out . The Americans were,wuust & Coune Icxp cc Tle AueaScc A ~e|2,0.5682
2002,non-combatant help was wanted ; but they,uou - Cuabeteut belp 1aj weukd 1 Auk ~ej,0.575
2003,in fighting . Yesterday the ships turned away,#sltnxj Yeslerdlayj Hle ohp] Juuex awerd,0.5778
2004,justified in diverting naval ships in case,Jjust Ked '4 diseHiJ iauel shyp  {4 21-12,0.5476
2005,"again , satisfied that they were not required .",Asait) mHofeck #leyt Aexi ue+e uet raived,0.6596
2006,and that there will be no more outrages .,aud Qek kee ~` Q2 Qe lo iovv& JuH ref2e,0.6585
2007,stressed that there was no intention to intervene,Ohened +ot Hoie WUe) Uo Suleu6az 4 fulernene,0.6327
2008,of UN conciliators they are meeting for,0p ON dcilaln Wen) 0t2 ~eeFiu9 Px,0.641
2009,relief when this strife-torn land gets,ile ~beu +Uif ohxe - 1on Cand frAI,0.6316
2010,Madagascar ) . THE world will sigh with,IladazaocAJ ) ThE WavQ d ~ U2 280 ~7 L,0.6667
2011,they must go . The best news for the Congo,Lee1 uuust Jo. The bes+ 6ql ) Jor Jue USt,0.5
2012,"the first time , in Malagasy ( formerly",He krst Twe_ / ila ilalegao] (Jmxsl1,0.5897
2013,itself a government which all outsiders,ibelp 71 Jevernueu1 _ulby all oudsicl),0.5128
2014,can recognise .,Can 1eceLj2,0.6667
2015,"But back , Mr. Hammarskjold is determined ,","Rut Iuck , ( cllr: Hamwarkaed iS Jeteswiuec",0.5116
2016,would be agreement between its rival,would le afree_uouf kefcv-ee i6 Avaq,0.5
2017,political leaders . Through the patient efforts,peh ccq leack_> Trea Vue ph exY 2,0.6809
2018,"who , under apartheid , will be forced back to",ho 1 ecler Ia/on sea / L #eed{ bo/,0.6739
2019,really believes . A good neighbour to those Africans,ratEhce h 28677/ Zeye #o [bzz,0.8077
2020,"policy of good neighbourliness . "" We may be sure that",plng Ircor neskze |h kb ~ E 7eLt,0.7222
2021,"as a divine mission could have spoken of apartheid as "" a",04 Q dea mhlkon colb J he Fsores spafhe:/ 41,0.614
2022,their tribal reserves with no prospect but a,hhe: Kike reerue te/ n Rrozec / le/,0.5682
2023,he is not being hypocritical . That is what he,he U n/ Wwx hhpocrhaco / T / 4 ~h / 7,0.5652
2024,ONLY a man wrapped in the impenetrable cocoon of what he regards,VoJNlY G mon ~rppe 2 H Eenehea Cozdn 9 e| h 76-4,0.625
2025,cramped and primitive existence .,tatpee{ Cr pvens  |r exer ce,0.697
2026,white stock .,xhek,0.7692
2027,Hitler in the thirties . It was Dr. Verwoerd who,Hi:fe 247 H HAes . 3 421 1. Lexrext #hc,0.625
2028,A good neighbour to those Africans who will con-,h T// nu sea Hhox U Cens ~h ~eWi C0,0.7083
2029,that he proved to be to the Jews fleeing from,Hnoh] he probeol k & k H / Hez,0.7111
2030,"water in the white areas of South Africa , without rights",kek 6 M ~hl Ol h  Itfe _ 1 ~alboe / 74,0.7544
2031,led a protest against admitting any of them,Eed Q Rrv 4 2g4 ~eez t / Hrer,0.7209
2032,and without hope . THE same sort of good neighbour,elt ~eo } h . THEE 4d #ov/ 4 4777/ 7e2EEl,0.7
2033,"because they would "" defile "" the national",Keceeee Nt toredd / szke He nL  2x70,0.6905
2034,tinue to live as hewers of wood and drawers of,Vue k Ex 0 henen 7ez// 052 4 olurer,0.7174
2035,woerd in his nightmare world . It is this that,#oerch 1 he; ~ah Far xoce M & H Jo,0.6739
2036,"Commonwealth . Otherwise , he says , those inside the",Gomonceal Oherwee 1 he 429A 7 Hone znnok /e,0.4906
2037,It is impossible to make contact with Dr. Ver-,M # ~ponla k #2 conhech ~h} 1: &,0.6739
2038,makes illusory any hopes that he may be in-,mlo ke Nluvery enry Wpe #Hhho/ he mc4 k 1,0.5814
2039,"Capetown , Dr. Joost de Blank , has pleaded that","Gpek  2; Zcoz/ o Bteck , h plea Ez/",0.5833
2040,country who still oppose apartheid will be,coorty wh Al) %po1 oo//ca 26eey,0.6667
2041,South Africa should be allowed to stay in the,bh llza ~hocle / k  el k _y ~ #,0.6667
2042,left even more isolated and alone .,Lb eeo motr ~oD bol 27/ edene,0.6571
2043,fluenced to change course . The Archbishop of,Huencedl k Har Coele Za FchEstz,0.6444
2044,maintained an unflinching witness to what,Glaihed Qw lufuucliui (tuess t ulal,0.561
2045,"Christianity really means , must carry weight . But",Choshawl Kaly Ieau) busf cy ueislf 8k,0.5882
