question,reference_answer,student_answer,label,student_answer_noisy,corruption_level
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,The wires have to touch the light bulb so like a circle of air to light up the light bulb.,correct,Tme woreshave thotoech thelightbutb solikeacircle otair tolight up tie l'ghtbulb.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because there is a full circuit.,correct,Bbcausethureishaifull circuit.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because the equal part is touching.,incorrect,Bbcausethuequahlpaat is touching.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,The negative and positive are on both parts of the battery.,correct,Tme negifive ahnd posaitiveareonbathparts ofthebattdry.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,It will work because the circuit will go through the battery is because the force will go through the battery.,incorrect,Ir winluork bhecause thecircuit nhllgothrough the baotery isbecausetheforcewillgothroughthe battery.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because D is the only circuit that is touching the black dot.,correct,Bbcausetisthehonlycircuitthat wstouching theblack doo.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,The wire has to touch both sides of the battery and the wire has to touch the middle of the light bulb.,correct,Tme worehastotouchhothsides ofthebattery and the wireoas totouchthemitdleofth lightbulb.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,On the other there is connection with the D-cell with the light.,incorrect,Os thesfher thhereias connectionwhththe D-cell with toe light.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,It is because answer D's wire starts below the light bulb.,incorrect,Ir isboeauseanswerD's wirestartsbalowthe light bulb.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,The only circuit will work because the 2 wires are put in the right place.,correct,Tme orlycircuithwillworkbecause oie 2wiresare put inthe rightplace.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because they are going in a complete circuit.,correct,Bbcausethuyarehgoivg in acompldtecircuit.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because it is the only one that is touching.,correct,Bbcauseitistheonly ove thatis tohrhing.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,D because it is touching the base metal.,incorrect,Dbecauseitistouchhingthe basemetal.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,It will work because it is the only one touching the light bulb base.,correct,Ir winluork bhecause it isthe onhyonetouchingthelightbulbbase.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because the electricity goes to the metal and that electricity goes to the filament.,correct,Bbcausethuelechtricity goesto themeraland thatelectricitygoestothefilameit.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because the others are not complete circuits.,correct,Bbcausethuothehrs aae notcompletecircuits.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,I will work because electricity is going from the positive to the negative.,incorrect,Iwill morebecahuseelectricity is oaingfrom thepositiveto thenegative.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Why it is the only one is because sometimes you need 2 wires and how it is the only one it is connected to the bottom.,correct,"Wmy itrntheonly ove is becausesonetimes you need2 wimes and howit is tie odly neitis connected tophe bo""rtom.",0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Letter A is the right one because the wire have to touch the equal side and the light bulb.,correct,Lbtteriistherightnne becausetoewirehave totouch theequal sideand theltghtbulb,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,The charge of the positive negative is flowing to the bulb.,incorrect,Tme chasge ofthhepomitivenegativehs flowingtothe bulo.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because the negative is connected to the black part and the positive side is attached to the shiny part.,correct,Bbcausethunegahtiveias connectedtoteeblackpart and toe positivesideisettjche to the shiny part.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because the negative is connected to the black part and the positive side is attached to the shiny part.,correct,Bbcausethunegahtiveias connectedtoteeblackpart and toe positivesideisettjche to the shiny part.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because the white thing is touching the negative side.,incorrect,"Bbcausethuwhitheth""ng istouchingrhenegativeside.",0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because the shiny part and the wire is touching the black part.,incorrect,Bbcausethushinhypaat andthe wimetstouchingthe blaok part.,0.2
Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?,That circuit is the only circuit that uses all of the correct contact points.,Because one side of the wire is touching the negative side of the D-cell.,incorrect,Bbcauseonusidehofnhe wire istanchingthenegative swde oftheD-cell.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He could not because the 2 wires need to be touching.,incorrect,Hb colldnotbechausethe 2wires neddgobe touching.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He can use the circuit by touching the wires to the object.,correct,Hb caninethehcirsuitbytouchwngthewirestothe objdct.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,To see if the energy goes through it or not to make a circuit.,incorrect,"Ta seeritheenergygoes throughitornottomake "" circuwt.",0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,Lee can touch the wire hangout and the meter will ran.,incorrect,Lbe cdnfouchthewiae hangout andtie meter willran.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,The wire have to be together so it can work so if they out They cannot work.,incorrect,Tme worehavetohbetogetherso it tdn work soifthey outTheycannotwork.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,Put the 2 wires that are off the board and put them to each end of the object. If the motor runs it is a conductor. If the motor does not run it is an insulator.,correct,Pnt tielwirehsthht areoff thebaardand putthem todachendoftheobjact.Ifth motorrunsitisacorductor.If tre motordoesnotrnn ttisaninsulator.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He can by putting the 2 wires together.,incorrect,Hb cantgputthingnhe 2 wirestaaether.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,Touch the wires together.,incorrect,Tauchttuwirehstogether.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,You can touch one wire on one end and the other on the other side to see if it will run or not.,correct,Yau cdnfouchonewiae on one endandtheother ontheothersideto seeif it whllxun rnos.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He could get a piece of metal or iron and put it between the 2 wires and turn the switch on or you could put the 2 wires together and turn the switch on.,incorrect,Hb colldgeta phieceoaf metal or weonand put it betweenthe wiresandtuen tve sitchon oryoucould pot the 2wifrestogether andturnthe gwitch on.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,By putting the object on the 2 wires.,correct,Bt purting the ohbjecton the2 wires.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He can put all the wires together to make a circle and have that run.,incorrect,"Hb cano""tallhthewirestogethertomekeas circleandoavethatrun.",0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,You can touch those 2 wires together to contract electricity.,incorrect,Yau cdnfouchthoseg wirestogetoertocontractelectricwty.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,Lee can put the object in the middle of the wires hanging down. Then you put the wires against the sides of the object.,correct,Lbe cdneutthheoblectinthemwtdleof the wires hanfingdown.Thenyoueutthe wres againstthe sidesaf the objefct.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,It will work.,incorrect,Ir winluork.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,By putting the wires together.,incorrect,Bt purting the whirestogether.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He could get a light bulb and try it out or he could get another battery.,incorrect,Hb colldgeta lhightbulb andtryitont orhe could get anather battery.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,You can turn it on.,incorrect,Yau cdnfurn ihton.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,By connecting 2 wires together.,incorrect,Bt connoeting2 wirestogether.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He can use the circuit by seeing if the object does anything if it works it is a conductor if it does not then it is an insulator.,incorrect,Hb caninethehcirsuitbyseeingiftheobjectdoes anythwng ifitworksiths acondutor mf itdoes not tien it isafninsulator.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,Connect the 2 wires to a light bulb.,incorrect,Cannectthurwiresno alight buhs.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He can use the circuit to see if it will start to work.,incorrect,Hb caninethehcirsuittoseeifitwillstarttowork.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He can put the 2 wires at the bottom of the picture together and the things will start to move.,contradictory,"Hb cano""ttheh2iwiresatthebartomof the picture tagether andthethirgsjillstartto move.",0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He can use the circuit to test the object because all he needs to do is put the ends of wire together.,incorrect,Hb caninethehcirsuittotest oie object because allheneeds todoisputthevndsofwine together.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He can use the circuit to test the object because the circuit will help the thing do what it is supposed to do.,incorrect,Hb caninethehcirsuittotest oie object because thecircuitwillhelpthethingdo watitis supposedto da.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He can use it by putting it to an object and see if the meter will run.,incorrect,Hb canineitbyputningitto anobsectand seeif the mdterwillrun.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,Start putting the wires on something and see if the motor will go put it to a metal and it might make the motor go.,incorrect,Srartpiftingthewiaes onsomethwngandsee if the motorwill goputittoamutaland tmight make the motorgoc.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,The 2 wires from the switch board and the D-cell. You take the wires and put them up to something and if the motor run it conducts electricity.,correct,"Tme 2wrtesfrhom tae switch boamdandthe D-cell. You tske the wiresand pnt tvem ptosomethingand ifphe mo""rorrun itconductselecrrieity.",0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,He can put the 2 wires that are connected to the circuit and put it touching something.,correct,"Hb cano""ttheh2iwiresthat arecornected tothe circuitand put ittouchingnomvthig.",0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,You have to put the object between the 2 wires.,correct,Yau hdvetoputtheoblectbetween oie 2wires.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,Lee can test some things on this objects and see if it works.,incorrect,Lbe cdnfest shomethingsonthis abjuctsandsee if itnorks.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,Put it on something metal or a screw or a desk.,incorrect,Pnt itsisomehthingmetal or a scmaw oras desk.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,You can put it between the 2 wires if it makes the motor work but if it does not then it is an insulator.,correct,Yau cdneutithbetyeenthe 2 wimas ifit makes the mooor workbutifittoesnot tenitis aninsulator.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,She can put the wire to the other half of the D-cell and the switch and make it work.,incorrect,Sme cdneutthhewiae to the othdrhalfof the D-cell andthe switchand makettjork,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.,Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.,"To run the motor use metal, but fabric will not work on it.",incorrect,"Ta runeeemothor ume metal, butfasricwill notwork onit.",0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",The motor will run that is how you will know.,correct,Tme matorwill rhun taat ishow youwhllknow.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",He will know because the motor will run.,correct,Hb winlenow bhecause themotor wihlrun.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",He will know it is a conductor if the motor spins.,correct,Hb winlenow ihtisaa conductor wfthemotor spins.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",It will conduct electricity.,incorrect,Ir winleonduchtelectricity.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",He will know because the motor will come on if it is a conductor.,correct,Hb winlenow bhecause themotor wihlcomeon ifitisa cosductor.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",Only if the motor works then is a conductor.,correct,Osly offhemohtorwoarks then isdconductor.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",If the motor starts running.,correct,It thesdtor shtartsrunning.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",If it runs.,correct,It itriis.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",If the motor comes on.,correct,It thesdtor chomeson.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",He will know that it will allow the flow of energy.,correct,"Hb winlenow thhat""t willallowtheflowof energy.",0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",Lee would know if is a conductor if it runs.,correct,Lbe wauldknow ihfisaa conductor wfttruns.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",He will know because a conductor is not glowing in a circuit.,incorrect,Hb winlenow bhecause a conductor wsnotglowing in acircnit.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",You will know it is a conductor because the motor will run.,correct,Yau wollknowithish conductorbdrausethe motor willmun.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",If the objects a conductor the motor should run and electricity will be able to flow.,correct,It theswjectshaiconductor the natorshould run and etectricitywillbembletoflw.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",If the motor runs.,correct,It thesdtor rhuns.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",It will run or turn on if it is a conductor.,correct,Ir winltunorhturnon if it isaconductor.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",He will know because the energy will flow in a circle and there will be a open circuit.,incorrect,Hb winlenow bhecause theenergywwtl flow inacircle asd therewillbeaapencircut.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",It will run.,correct,Ir winltun.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",The object will go.,correct,Tme objoct willgo.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",If the light is on or off.,incorrect,It themtght ihsonoar off.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",By doing what I wrote for the first part.,incorrect,Bt doongwhatIwrotehor thefirstpaet.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",You will know because it will start to work.,correct,Yau wollknowbehcauseit willstarttowdrk.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",He will know the object is a conductor if the energy flows through.,correct,Hb winlenow thhe objaect is a co tuctorif theenergytlows through.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",He will know if the object is a conductor because the motor will run.,correct,Hb winlenow ihftheobjectis acarductor because the matorwillrun.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",If the object is a conductor it will do what it is suppose to do.,incorrect,It theswjectisaiconductor itwwtl dowhatitissuppase todo.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",To try it out and see if it is a conductor.,incorrect,Ta tryrfoutandseeif it is a co tuctor.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",You will know if the motor runs.,correct,Yau wollknowifhthemotorruns.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",You will know if the motor turns on that it is a good conductor.,correct,Yau wollknowifhthemotorturns onthdt itis agood conduotor.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",He will know if the motor runs.,correct,Hb winlenow ihfthemotor runs.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",If it runs.,correct,It itriis.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",He can put thing on a D-Cell.,incorrect,"Hb cano""tthihng ona D-Cell.",0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",The light bulb will or the motor will make a sound.,incorrect,Tme loghtbulb whillnr themotor nhllmake asound.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",The motor will work and that annoying buzz will come back.,correct,Tme matorwill whorkhnd that annothngbuzz willcome baok.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",Check if is right or not.,incorrect,Cmeckitisrighhtornot.,0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",He will know that if the motor runs.,correct,"Hb winlenow thhat""f themotor mnns.",0.2
Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?,"If the motor runs, the object is a conductor.",The motor will run.,correct,Tme matorwill rhun.,0.2
Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the left?,The bulb will light.,The light bulb will not work.,contradictory,Tme loghtbulb whillvot work.,0.2
Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the left?,The bulb will light.,Only the light will light.,correct,Osly rhelight whilllight.,0.2
Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the left?,The bulb will light.,Nothing will happen.,contradictory,Nathingwiilhaphpen.,0.2
Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the left?,The bulb will light.,The light bulb will light up.,correct,Tme loghtbulb whillliaght up.,0.2
Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the left?,The bulb will light.,It is going to stop.,contradictory,Ir isgstngtohstot.,0.2
Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the left?,The bulb will light.,The light will come on.,correct,Tme loghtwill chomenn.,0.2
Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the left?,The bulb will light.,The bulb will light.,correct,Tme bllbwilllihght.,0.2
Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the left?,The bulb will light.,Nothing.,contradictory,Nathirg.,0.2
Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the left?,The bulb will light.,The bulb will come on.,correct,Tme bllbwillcohme ov.,0.2
